id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
ですね,English,Japanese,Adjective2,get Adjective,親切だ / kind,親切ですね,,親切ですね,,1
じゃないですよ,English,Japanese,Adjective2,get Adjective,親切だ / kind,普段はこんなに親切じゃないですよ,,普段はこんなに親切じゃないですよ,,1
にしてください、しくしてください,English,Japanese,Adjective2,get Adjective,親切だ / kind,普段もこれくらい親切にしてください,,普段もこれくらい親切にしてください,,1
になってから言ってください,English,Japanese,Adjective2,get Adjective,親切だ / kind,自分がもっと親切になってから言ってください,,自分がもっと親切になってから言ってください,,1
にするのはやめてください,,,,,,,,,,1
な事をするのはやめてください,English,Japanese,Adjective2,get Adjective,積極的だ / active,積極的ですね,,積極的ですね,,1
になったのは誰のせいですか？,English,Japanese,Adjective2,get Adjective,積極的だ / active,普段はこんなに積極的じゃないですよ,,普段はこんなに積極的じゃないですよ,,1
な人は嫌いです,English,Japanese,Adjective2,get Adjective,積極的だ / active,普段もこれくらい積極的に仕事をしてください,,普段もこれくらい積極的に仕事をしてください,,1
,English,Japanese,Adjective2,get Adjective,積極的だ / active,自分がもっと積極的になってから言ってください,,自分がもっと積極的になってから言ってください,,1
に、しくなってきました,,,,,,,,,,1
に、しくなりますよ,English,Japanese,Adjective2,get Adjective,いい加減だ / sloppy,いい加減ですね,,いい加減ですね,,1
Ad+さはやばい,English,Japanese,Adjective2,get Adjective,いい加減だ / sloppy,普段はこんなにいい加減じゃないですよ,,普段はこんなにいい加減じゃないですよ,,1
,English,Japanese,Adjective2,get Adjective,いい加減だ / sloppy,いい加減に仕事をするのはやめてください,,いい加減に仕事をするのはやめてください,,1
,English,Japanese,Adjective2,get Adjective,いい加減だ / sloppy,私がいい加減になったのは誰のせいですか？,,私がいい加減になったのは誰のせいですか？,,1
,,,,,,,,,,1
元気でいてください,English,Japanese,Adjective2,get Adjective,おせっかいだ / meddlesome,おせっかいですね,,おせっかいですね,,1
きれいでいてください,English,Japanese,Adjective2,get Adjective,おせっかいだ / meddlesome,普段はこんなにおせっかいじゃないですよ,,普段はこんなにおせっかいじゃないですよ,,1
,English,Japanese,Adjective2,get Adjective,おせっかいだ / meddlesome,おせっかいな事をするのはやめてください,,おせっかいな事をするのはやめてください,,1
,English,Japanese,Adjective2,get Adjective,おせっかいだ / meddlesome,私がおせっかいになったのは誰のせいですか？,,私がおせっかいになったのは誰のせいですか？,,1
人の態度を表す形容詞,,,,,,,,,,1
,English,Japanese,Adjective2,get Adjective,おしゃべりだ / talkative,彼女はおしゃべりですね,,彼女はおしゃべりですね,,1
優しい,English,Japanese,Adjective2,get Adjective,おしゃべりだ / talkative,普段はあんなにおしゃべりじゃないですよ,,普段はあんなにおしゃべりじゃないですよ,,1
