id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Adjective2,look Adjective,暇だ / bored,暇ですか？,,暇ですか？,,1
,English,Japanese,Adjective2,look Adjective,暇だ / bored,暇じゃないです,,暇じゃないです,,1
,English,Japanese,Adjective2,look Adjective,暇だ / bored,でも暇そうですよ,,でも暇そうですよ,,1
,English,Japanese,Adjective2,look Adjective,暇だ / bored,暇そうに見えるだけです,,暇そうに見えるだけです,,1
,English,Japanese,Adjective2,look Adjective,暇だ / bored,前に暇だって言ってませんでしたか？,,前に暇だって言ってませんでしたか？,,1
,English,Japanese,Adjective2,look Adjective,暇だ / bored,前は暇だったんですよ,,前は暇だったんですよ,,1
,English,Japanese,Adjective2,look Adjective,暇だ / bored,今は暇じゃないんですね？,,今は暇じゃないんですね？,,1
,,,,,,,,,,1
,English,Japanese,Adjective2,look Adjective,大変だ / hard,今の仕事は大変ですか？,,今の仕事は大変ですか？,,1
,English,Japanese,Adjective2,look Adjective,大変だ / hard,大変じゃないです,,大変じゃないです,,1
,English,Japanese,Adjective2,look Adjective,大変だ / hard,でも大変そうですよ,,でも大変そうですよ,,1
,English,Japanese,Adjective2,look Adjective,大変だ / hard,大変そうに見えるだけです,,大変そうに見えるだけです,,1
,English,Japanese,Adjective2,look Adjective,大変だ / hard,前に大変だって言ってませんでしたか？,,前に大変だって言ってませんでしたか？,,1
,English,Japanese,Adjective2,look Adjective,大変だ / hard,前は大変だったんですよ,,前は大変だったんですよ,,1
,English,Japanese,Adjective2,look Adjective,大変だ / hard,今は大変じゃないんですね？,,今は大変じゃないんですね？,,1
,,,,,,,,,,1
,English,Japanese,Adjective2,look Adjective,親切だ / kind,彼女は親切ですか？,,彼女は親切ですか？,,1
,English,Japanese,Adjective2,look Adjective,親切だ / kind,親切じゃないです,,親切じゃないです,,1
,English,Japanese,Adjective2,look Adjective,親切だ / kind,でも親切そうですよ,,でも親切そうですよ,,1
,English,Japanese,Adjective2,look Adjective,親切だ / kind,親切そうに見えるだけです,,親切そうに見えるだけです,,1
,English,Japanese,Adjective2,look Adjective,親切だ / kind,前に親切だって言ってませんでしたか？,,前に親切だって言ってませんでしたか？,,1
,English,Japanese,Adjective2,look Adjective,親切だ / kind,前は親切だったんですよ,,前は親切だったんですよ,,1
,English,Japanese,Adjective2,look Adjective,親切だ / kind,今は親切じゃないんですね？,,今は親切じゃないんですね？,,1
