id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Adjective2,のが / adjective to verb,走るのが速い / run fast,彼は走るのが速いですか？,,彼は走るのが速いですか？,,1
走るのが速い,English,Japanese,Adjective2,のが / adjective to verb,走るのが速い / run fast,はい、速いです,,はい、速いです,,1
起きるのが遅い,English,Japanese,Adjective2,のが / adjective to verb,走るのが速い / run fast,いいえ、速くないです,,いいえ、速くないです,,1
見るのが怖い,English,Japanese,Adjective2,のが / adjective to verb,走るのが速い / run fast,この中で1番走るのが速いのは誰ですか？,,この中で1番走るのが速いのは誰ですか？,,1
触るのが苦手だ,English,Japanese,Adjective2,のが / adjective to verb,走るのが速い / run fast,yournameさんです,,yournameさんです,,1
思い出すのが辛い,,,,,,,,,,1
忘れるのが怖い,English,Japanese,Adjective2,のが / adjective to verb,見るのが楽しい / fun to watch,試合を見るのが楽しいですか？,,試合を見るのが楽しいですか？,,1
,English,Japanese,Adjective2,のが / adjective to verb,見るのが楽しい / fun to watch,はい、楽しいです,,はい、楽しいです,,1
,English,Japanese,Adjective2,のが / adjective to verb,見るのが楽しい / fun to watch,いいえ、楽しくないです,,いいえ、楽しくないです,,1
動詞と形容詞の中間地点,English,Japanese,Adjective2,のが / adjective to verb,見るのが楽しい / fun to watch,1番見るのが楽しいのは何ですか？,,1番見るのが楽しいのは何ですか？,,1
,English,Japanese,Adjective2,のが / adjective to verb,見るのが楽しい / fun to watch,子供の成長です,,子供の成長です,,1
,,,,,,,,,,1
料理を作るのが得意だ,English,Japanese,Adjective2,のが / adjective to verb,触るのが苦手だ / not like to touch,虫を触るのが苦手ですか？,,虫を触るのが苦手ですか？,,1
,English,Japanese,Adjective2,のが / adjective to verb,触るのが苦手だ / not like to touch,はい、苦手です,,はい、苦手です,,1
,English,Japanese,Adjective2,のが / adjective to verb,触るのが苦手だ / not like to touch,いいえ、苦手ではないです,,いいえ、苦手ではないです,,1
,English,Japanese,Adjective2,のが / adjective to verb,触るのが苦手だ / not like to touch,1番触るのが苦手なのは何ですか？,,1番触るのが苦手なのは何ですか？,,1
,English,Japanese,Adjective2,のが / adjective to verb,触るのが苦手だ / not like to touch,クモです,,クモです,,1
,,,,,,,,,,1
,English,Japanese,Adjective2,のが / adjective to verb,思い出すのが辛い / hard to recall,子供の時の事を思い出すのが辛いですか？,,子供の時の事を思い出すのが辛いですか？,,1
,English,Japanese,Adjective2,のが / adjective to verb,思い出すのが辛い / hard to recall,はい、辛いです,,はい、辛いです,,1
,English,Japanese,Adjective2,のが / adjective to verb,思い出すのが辛い / hard to recall,いいえ、辛くないです,,いいえ、辛くないです,,1
,English,Japanese,Adjective2,のが / adjective to verb,思い出すのが辛い / hard to recall,1番思い出すのが辛いのは何ですか？,,1番思い出すのが辛いのは何ですか？,,1
,English,Japanese,Adjective2,のが / adjective to verb,思い出すのが辛い / hard to recall,いじめです,,いじめです,,1
,,,,,,,,,,1
,English,Japanese,Adjective2,のが / adjective to verb,忘れるのが怖い / afraid of forgetting,彼との思い出を忘れるのが怖いですか？,,彼との思い出を忘れるのが怖いですか？,,1
,English,Japanese,Adjective2,のが / adjective to verb,忘れるのが怖い / afraid of forgetting,はい、怖いです,,はい、怖いです,,1
,English,Japanese,Adjective2,のが / adjective to verb,忘れるのが怖い / afraid of forgetting,いいえ、怖くないです,,いいえ、怖くないです,,1
,English,Japanese,Adjective2,のが / adjective to verb,忘れるのが怖い / afraid of forgetting,1番忘れるのが怖いのは何ですか？,,1番忘れるのが怖いのは何ですか？,,1
,English,Japanese,Adjective2,のが / adjective to verb,忘れるのが怖い / afraid of forgetting,自分の名前です,,自分の名前です,,1
,,,,,,,,,,1
食べやすい,English,Japanese,Adjective2,のが / adjective to verb,料理を作るのが得意だ / good at cooking,彼は料理を作るのが得意ですか？,,彼は料理を作るのが得意ですか？,,1
食べにくい,English,Japanese,Adjective2,のが / adjective to verb,料理を作るのが得意だ / good at cooking,はい、得意です,,はい、得意です,,1
食べずらい,English,Japanese,Adjective2,のが / adjective to verb,料理を作るのが得意だ / good at cooking,いいえ、得意じゃないです,,いいえ、得意じゃないです,,1
,English,Japanese,Adjective2,のが / adjective to verb,料理を作るのが得意だ / good at cooking,1番料理を作るのが得意なのは誰ですか？,,1番料理を作るのが得意なのは誰ですか？,,1
,English,Japanese,Adjective2,のが / adjective to verb,料理を作るのが得意だ / good at cooking,たぶん私です,,たぶん私です,,1
