id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Adjective2,I think that i-adjective,背が高い / tall,彼の事をどう思いますか？,,彼の事をどう思いますか？,,1
基本的には全て,English,Japanese,Adjective2,I think that i-adjective,背が高い / tall,かなり背が高いと思います,,かなり背が高いと思います,,1
他人や物に対する感想,English,Japanese,Adjective2,I think that i-adjective,背が高い / tall,彼の弟の事はどう思いますか？,,彼の弟の事はどう思いますか？,,1
,English,Japanese,Adjective2,I think that i-adjective,背が高い / tall,弟はそこまで背が高くないと思います,,弟はそこまで背が高くないと思います,,1
,,,,,,,,,,1
I think that ～と,English,Japanese,Adjective2,I think that na-adjective,意地悪だ / mean,彼の性格をどう思いましたか？,,彼の性格をどう思いましたか？,,1
I don''t think that～も別枠で作る,English,Japanese,Adjective2,I think that na-adjective,意地悪だ / mean,とても意地悪だと思いました,,とても意地悪だと思いました,,1
,English,Japanese,Adjective2,I think that na-adjective,意地悪だ / mean,彼の姉の性格はどう思いましたか？,,彼の姉の性格はどう思いましたか？,,1
,English,Japanese,Adjective2,I think that na-adjective,意地悪だ / mean,姉はそこまで意地悪ではないと思いました,,姉はそこまで意地悪ではないと思いました,,1
,,,,,,,,,,1
,English,Japanese,Adjective2,I think that iru-adjective,年を取っている / old,彼の事をどう思いますか？,,彼の事をどう思いますか？,,1
,English,Japanese,Adjective2,I think that iru-adjective,年を取っている / old,かなり年を取っていると思います,,かなり年を取っていると思います,,1
,English,Japanese,Adjective2,I think that iru-adjective,年を取っている / old,彼の妻の事はどう思いますか？,,彼の妻の事はどう思いますか？,,1
,English,Japanese,Adjective2,I think that iru-adjective,年を取っている / old,妻はそこまで年を取っていないと思います,,妻はそこまで年を取っていないと思います,,1
,,,,,,,,,,1
,English,Japanese,Adjective2,I think that iru-adjective,太っている / fat,彼の体型をどう思いましたか？,,彼の体型をどう思いましたか？,,1
彼は自分は背が高いと思っています,English,Japanese,Adjective2,I think that iru-adjective,太っている / fat,とても太っていると思いました,,とても太っていると思いました,,1
彼は自分の事を背が高いと思っています,English,Japanese,Adjective2,I think that iru-adjective,太っている / fat,彼の両親の体型はどう思いましたか？,,彼の両親の体型はどう思いましたか？,,1
→別の機会に取り上げる,English,Japanese,Adjective2,I think that iru-adjective,太っている / fat,両親はそこまで太っていないと思いました,,両親はそこまで太っていないと思いました,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
～そうです,,,,,,,,,,1
～そうに＋見える,,,,,,,,,,1
,,,,,,,,,,1
～ようだ,,,,,,,,,,1
～ように見える、思える,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
太っている→太って見える,,,,,,,,,,1
太っているように見える,,,,,,,,,,1
,,,,,,,,,,1
年を取っている→年を取っているように見える,,,,,,,,,,1
→年を取って見えます、老けて見えます,,,,,,,,,,1
,,,,,,,,,,1
流行っている→流行っているようだ,,,,,,,,,,1
,,,,,,,,,,1
慣れている→慣れているように見える,,,,,,,,,,1
→慣れて見えます,,,,,,,,,,1
,,,,,,,,,,1
似ている、似て見える、似ているように見える,,,,,,,,,,1
似ている気がする、似ているような気がする,,,,,,,,,,1
,,,,,,,,,,1
似合っている、似合っているようだ,,,,,,,,,,1
似合っているように見える,,,,,,,,,,1
似合って見える,,,,,,,,,,1
似合っているような気がする,,,,,,,,,,1
,,,,,,,,,,1
疲れている、疲れているようだ,,,,,,,,,,1
疲れているように見える,,,,,,,,,,1
疲れて見える,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
疲れている,,,,,,,,,,1
疲れてそうだ,,,,,,,,,,1
疲れているそうだ,,,,,,,,,,1
疲れているらしい,,,,,,,,,,1
疲れている気がする,,,,,,,,,,1
疲れている感じがする,,,,,,,,,,1
疲れていると思う,,,,,,,,,,1
疲れて見える,,,,,,,,,,1
,,,,,,,,,,1
疲れているようだ,,,,,,,,,,1
に見える、に聞こえる、に思える、な気がする,,,,,,,,,,1
