id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Adjective3,くて、で、し、ので、けど,駅が近い / close to the station,この家は駅が近いので便利です,This house is close to the station so it''s convenient.,この家は | 駅が | 近い | ので | 便利です,,1
が+ので+が,English,Japanese,Adjective3,くて、で、し、ので、けど,駅が近い / close to the station,便利だけど家賃が高いです,It''s convenient but the rent is expensive.,便利だ | けど | 家賃が | 高いです,,1
は+けど+は,English,Japanese,Adjective3,くて、で、し、ので、けど,駅が近い / close to the station,家賃が高いけど広いです,The rent is expensive but it''s spacious.,家賃が | 高い | けど | 広いです,,1
かわいい+けど+が,English,Japanese,Adjective3,くて、で、し、ので、けど,駅が近い / close to the station,広いので開放感があります,It''s spacious so it feels open.,広い | ので | 開放感が | あります,,1
,English,Japanese,Adjective3,くて、で、し、ので、けど,駅が近い / close to the station,開放感があるので居心地がいいです,It feels open so it''s cozy.,開放感が | ある | ので | 居心地が | いいです,,1
,English,Japanese,Adjective3,くて、で、し、ので、けど,駅が近い / close to the station,居心地がいいので好きです,It''s cozy so I like it.,居心地が | いい | ので | 好きです,,1
,,,,,,,,,,1
私は走るのが速い,English,Japanese,Adjective3,くて、で、し、ので、けど,体が大きい / big ,彼は体が大きくて強いです,He is big and strong.,彼は | 体が | 大きくて | 強いです,,1
私は生きるのがつらい,English,Japanese,Adjective3,くて、で、し、ので、けど,体が大きい / big ,強いし走るのが速いです,He is strong and he runs fast too.,強い | し | 走る | のが | 速いです,,1
ホラー映画を見るのが平気だ,English,Japanese,Adjective3,くて、で、し、ので、けど,体が大きい / big ,走るのが速いし正直です,He runs fast and he is honest as well.,走る | のが | 速い | し | 正直です,,1
ホラー映画を見るのが大丈夫だ,English,Japanese,Adjective3,くて、で、し、ので、けど,体が大きい / big ,正直だしイケメンです,He is honest and good-looking as well.,正直だ | し | イケメンです,,1
私は生きるのは平気だ,English,Japanese,Adjective3,くて、で、し、ので、けど,体が大きい / big ,イケメンなのでモテます,He is good-looking so he is popular.,イケメンな | ので | モテます,,1
私は話すのは大丈夫だ,English,Japanese,Adjective3,くて、で、し、ので、けど,体が大きい / big ,モテるのでくやしいです,He is popular so I am frustrated.,モテる | ので | くやしいです,,1
私は歩くのが困難だ,,,,,,,,,,1
歩くのが大変だ,English,Japanese,Adjective3,くて、で、し、ので、けど,面白い / interesting,この本は古くてボロボロです,This book is old and worn-out.,この本は | 古くて | ボロボロです,,1
歩くのが簡単だ,English,Japanese,Adjective3,くて、で、し、ので、けど,面白い / interesting,ボロボロだけど厚いです,It''s worn-out but thick.,ボロボロだ | けど | 厚いです,,1
歩くのは簡単だ,English,Japanese,Adjective3,くて、で、し、ので、けど,面白い / interesting,厚いので重いです,It''s thick so it''s heavy.,厚い | ので | 重いです,,1
歩くのが楽だ,English,Japanese,Adjective3,くて、で、し、ので、けど,面白い / interesting,重いし内容が難しいです,It''s heavy and the content is difficult.,重い | し | 内容が | 難しいです,,1
歩くのは楽だ,English,Japanese,Adjective3,くて、で、し、ので、けど,面白い / interesting,内容が難しいので人気がありません,The content is difficult so it''s not popular.,内容が | 難しい | ので | 人気が | ありません,,1
,English,Japanese,Adjective3,くて、で、し、ので、けど,面白い / interesting,人気がないのでかわいそうです,It''s not popular so I feel sorry for it.,人気が | ない | ので | かわいそうです,,1
,,,,,,,,,,1
,English,Japanese,Adjective3,くて、で、し、ので、けど,真面目だ / hardworking,私は真面目で頭がいいです,I am hardworking and smart.,私は | 真面目で | 頭が | いいです,,1
,English,Japanese,Adjective3,くて、で、し、ので、けど,真面目だ / hardworking,頭がいいけどスタイルが悪いです,I am smart but I have a bad figure.,頭が | いい | けど | スタイルが | 悪いです,,1
,English,Japanese,Adjective3,くて、で、し、ので、けど,真面目だ / hardworking,スタイルが悪いけどかわいいです,I have a bad figure but I am cute.,スタイルが | 悪い | けど | かわいいです,,1
,English,Japanese,Adjective3,くて、で、し、ので、けど,真面目だ / hardworking,かわいいけど性格が悪いです,I am cute but I have a bad personality.,かわいい | けど | 性格が | 悪いです,,1
