id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Adjective,i-Adjective,忙しい( いそがしい ) / busy,今日は忙しいですか？,Are you busy today?,今日は忙しいですか？,,1
い形容詞,English,Japanese,Adjective,i-Adjective,忙しい( いそがしい ) / busy,とても忙しいです,Very busy.,とても忙しいです,,1
,English,Japanese,Adjective,i-Adjective,忙しい( いそがしい ) / busy,忙しいほうです,Relatively busy.,忙しいほうです,,1
人,English,Japanese,Adjective,i-Adjective,忙しい( いそがしい ) / busy,まあまあ忙しいです,Somewhat busy.,まあまあ忙しいです,,1
Sはやさしい,English,Japanese,Adjective,i-Adjective,忙しい( いそがしい ) / busy,普通です,Normal.,普通です,,1
Sは性格が悪い,English,Japanese,Adjective,i-Adjective,忙しい( いそがしい ) / busy,そんなに忙しくないです,Not that busy.,そんなに忙しくないです,,1
Sは背が高い,English,Japanese,Adjective,i-Adjective,忙しい( いそがしい ) / busy,全然忙しくないです,Not busy at all.,全然忙しくないです,,1
Sは走るのが速い,English,Japanese,Adjective,i-Adjective,忙しい( いそがしい ) / busy,最近忙しすぎると思います,I think too busy recently.,最近忙しすぎると思います,,1
,,,,,,,,,,1
Sはこの意見に反対だ,English,Japanese,Adjective,i-Adjective past,忙しい( いそがしい ) / busy,昨日は忙しかったですか？,Were you busy yesterday?,昨日は忙しかったですか？,,1
Sは意地悪だ,English,Japanese,Adjective,i-Adjective past,忙しい( いそがしい ) / busy,はい、忙しかったです,Yes...I was.,はい、忙しかったです,,1
Sは一生懸命だ,English,Japanese,Adjective,i-Adjective past,忙しい( いそがしい ) / busy,いいえ、忙しくなかったです,No...I was not.,いいえ、忙しくなかったです,,1
,,,,,,,,,,1
Sは単純だ,English,Japanese,Adjective,i-Adjective + nowa,忙しい( いそがしい ) / busy,1番忙しいのはいつですか？,When is the busiest?,1番忙しいのはいつですか？,,1
Sは目が不自由だ,English,Japanese,Adjective,i-Adjective + nowa,忙しい( いそがしい ) / busy,夕方です,Evening.,夕方です,,1
,,,,,,,,,,1
