id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Adjective,na-Adjective,安全だ / safe,この場所は安全ですか？,,この場所は安全ですか？,,1
な形容詞,English,Japanese,Adjective,na-Adjective,安全だ / safe,安全です,,安全です,,1
,English,Japanese,Adjective,na-Adjective,安全だ / safe,あまり安全ではありません,,あまり安全ではありません,,1
人,English,Japanese,Adjective,na-Adjective,安全だ / safe,全く安全じゃないです,,全く安全じゃないです,,1
,,,,,,,,,,1
Sはやさしい,English,Japanese,Adjective,na-Adjective past,安全だ / safe,アフリカは安全でしたか？,,アフリカは安全でしたか？,,1
Sは性格が悪い,English,Japanese,Adjective,na-Adjective past,安全だ / safe,はい、安全でした,,はい、安全でした,,1
Sは背が高い,English,Japanese,Adjective,na-Adjective past,安全だ / safe,いいえ、あまり安全ではありませんでした,,いいえ、あまり安全ではありませんでした,,1
Sは走るのが速い,English,Japanese,Adjective,na-Adjective past,安全だ / safe,いいえ、全然安全じゃなかったです,,いいえ、全然安全じゃなかったです,,1
Sはこの意見に反対だ,,,,,,,,,,1
Sは意地悪だ,English,Japanese,Adjective,na-Adjective + のは( nowa ),安全だ / safe,世界で1番安全なのはどこですか？,,世界で1番安全なのはどこですか？,,1
Sは一生懸命だ,English,Japanese,Adjective,na-Adjective + のは( nowa ),安全だ / safe,私の部屋です,,私の部屋です,,1
,,,,,,,,,,1
Sは単純だ,English,Japanese,Adjective,na-Adjective + noun,安全だ / safe,安全な国と安全じゃない国はどっちが多いですか？,,安全な国と安全じゃない国はどっちが多いですか？,,1
Sは目が不自由だ,English,Japanese,Adjective,na-Adjective + noun,安全だ / safe,安全じゃない国の方が多いです,,安全じゃない国の方が多いです,,1
,,,,,,,,,,1
,,,,,,,,,,1
,English,Japanese,Adjective,na-Adjective,簡単だ / easy,今年の試験は簡単ですか？,,今年の試験は簡単ですか？,,1
時間,English,Japanese,Adjective,na-Adjective,簡単だ / easy,すごく簡単です,,すごく簡単です,,1
今日は寒い,English,Japanese,Adjective,na-Adjective,簡単だ / easy,あまり簡単ではありません,,あまり簡単ではありません,,1
今日は星がきれいだ,English,Japanese,Adjective,na-Adjective,簡単だ / easy,全く簡単じゃないです,,全く簡単じゃないです,,1
,,,,,,,,,,1
今日は人が少ない,English,Japanese,Adjective,na-Adjective past,簡単だ / easy,去年の試験は簡単でしたか？,,去年の試験は簡単でしたか？,,1
午後は自由だ,English,Japanese,Adjective,na-Adjective past,簡単だ / easy,はい、簡単でした,,はい、簡単でした,,1
,English,Japanese,Adjective,na-Adjective past,簡単だ / easy,いいえ、簡単ではありませんでした,,いいえ、簡単ではありませんでした,,1
,English,Japanese,Adjective,na-Adjective past,簡単だ / easy,いいえ、簡単じゃなかったです,,いいえ、簡単じゃなかったです,,1
場所,,,,,,,,,,1
ここは暑い,English,Japanese,Adjective,na-Adjective + のは( nowa ),簡単だ / easy,1番簡単なのは何の試験ですか？,,1番簡単なのは何の試験ですか？,,1
ここは風が強い,English,Japanese,Adjective,na-Adjective + のは( nowa ),簡単だ / easy,英語の試験です,,英語の試験です,,1
,,,,,,,,,,1
ここは人が多い,English,Japanese,Adjective,na-Adjective + noun,簡単だ / easy,簡単な試験と難しい試験はどっちが多いですか？,,簡単な試験と難しい試験はどっちが多いですか？,,1
ここは景色がきれいだ,English,Japanese,Adjective,na-Adjective + noun,簡単だ / easy,簡単な試験の方が多いです,,簡単な試験の方が多いです,,1
,,,,,,,,,,1
ここは空気が新鮮だ,,,,,,,,,,1
ここは安全だ,English,Japanese,Adjective,na-Adjective,嫌だ / hate1,残業は嫌ですか？,,残業は嫌ですか？,,1
,English,Japanese,Adjective,na-Adjective,嫌だ / hate1,すごく嫌です,,すごく嫌です,,1
,English,Japanese,Adjective,na-Adjective,嫌だ / hate1,別に嫌ではありません,,別に嫌ではありません,,1
物、事,English,Japanese,Adjective,na-Adjective,嫌だ / hate1,全然嫌じゃないです,,全然嫌じゃないです,,1
,,,,,,,,,,1
この本は面白い,English,Japanese,Adjective,na-Adjective past,嫌だ / hate1,子供の時、宿題は嫌でしたか？,,子供の時、宿題は嫌でしたか？,,1
この映画は音楽がよい,English,Japanese,Adjective,na-Adjective past,嫌だ / hate1,はい、嫌でした,,はい、嫌でした,,1
この情報は確かだ,English,Japanese,Adjective,na-Adjective past,嫌だ / hate1,いいえ、嫌ではありませんでした,,いいえ、嫌ではありませんでした,,1
あの机は邪魔だ,English,Japanese,Adjective,na-Adjective past,嫌だ / hate1,いいえ、嫌じゃなかったです,,いいえ、嫌じゃなかったです,,1
駅はここから近い,,,,,,,,,,1
太陽は大きい,English,Japanese,Adjective,na-Adjective + のは( nowa ),嫌だ / hate1,1番嫌なのは何ですか？,,1番嫌なのは何ですか？,,1
どうするかは自由だ,English,Japanese,Adjective,na-Adjective + のは( nowa ),嫌だ / hate1,パワハラです,,パワハラです,,1
,,,,,,,,,,1
行先は自由だ,English,Japanese,Adjective,na-Adjective + noun,嫌だ / hate1,人生で嫌な事といい事はどっちが多いですか？,,人生で嫌な事といい事はどっちが多いですか？,,1
今日の会議は重要だ,English,Japanese,Adjective,na-Adjective + noun,嫌だ / hate1,嫌な事のほうが多いです,,嫌な事のほうが多いです,,1
遅刻は駄目だ,,,,,,,,,,1
いじめは駄目だ,,,,,,,,,,1
この車は必要だ,English,Japanese,Adjective,na-Adjective,嫌いだ / hate2,運動は嫌いですか？,,運動は嫌いですか？,,1
この魚は新鮮だ,English,Japanese,Adjective,na-Adjective,嫌いだ / hate2,すごく嫌いです,,すごく嫌いです,,1
ここの魚は新鮮だ,English,Japanese,Adjective,na-Adjective,嫌いだ / hate2,別に嫌いではありません,,別に嫌いではありません,,1
この問題は単純だ,English,Japanese,Adjective,na-Adjective,嫌いだ / hate2,全然嫌いじゃないです,,全然嫌いじゃないです,,1
,,,,,,,,,,1
その表現はオーバーだ,English,Japanese,Adjective,na-Adjective past,嫌いだ / hate2,子供の時、勉強は嫌いでしたか？,,子供の時、勉強は嫌いでしたか？,,1
,English,Japanese,Adjective,na-Adjective past,嫌いだ / hate2,はい、嫌いでした,,はい、嫌いでした,,1
,English,Japanese,Adjective,na-Adjective past,嫌いだ / hate2,いいえ、別に嫌いではありませんでした,,いいえ、別に嫌いではありませんでした,,1
ex1,English,Japanese,Adjective,na-Adjective past,嫌いだ / hate2,いいえ、全然嫌いじゃなかったです,,いいえ、全然嫌いじゃなかったです,,1
かなしい,,,,,,,,,,1
さみしい,English,Japanese,Adjective,na-Adjective + のは( nowa ),嫌いだ / hate2,1番嫌いなのは何ですか？,,1番嫌いなのは何ですか？,,1
うれしい,English,Japanese,Adjective,na-Adjective + のは( nowa ),嫌いだ / hate2,ピーマンです,,ピーマンです,,1
,,,,,,,,,,1
