id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
〇させる,English,Japanese,Verb2,make / let someone V,,,,,,1
〇ませんか？（勧誘）,English,Japanese,Verb2,make / let someone V,,,,,,1
ましょう,English,Japanese,Verb2,make / let someone V,,,,,,1
〇たらどうですか？,English,Japanese,Verb2,make / let someone V,,,,,,1
〇ませんか？（疑問）,English,Japanese,Verb2,make / let someone V,,,,,,1
〇ないんですか？,,,,,,,,,,1
〇なかったんですか？,English,Japanese,Verb2,make / let someone V,,,,,,1
〇た方がよくないですか？,English,Japanese,Verb2,make / let someone V,,,,,,1
ないといけません,English,Japanese,Verb2,make / let someone V,,,,,,1
ない方がいいです,English,Japanese,Verb2,make / let someone V,,,,,,1
〇た方がいいですか？,English,Japanese,Verb2,make / let someone V,,,,,,1
なくてもいいです,,,,,,,,,,1
〇疑問詞＋ばいいですか？,,,,,,,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,夕食を食べに行く / go grab dinner,一緒に夕食を食べに行きませんか？,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,夕食を食べに行く / go grab dinner,はい、行きましょう,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,夕食を食べに行く / go grab dinner,はい、是非,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,夕食を食べに行く / go grab dinner,いいですよ,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,夕食を食べに行く / go grab dinner,すみません、今日は予定があるんです,,,,1
,,,,,,,,,,1
食べさせられる,English,Japanese,Verb2,ませんか？ / why don''t we V?,映画を見に行く / go to see a movie,一緒に映画を見に行きませんか？,,,,1
食べさせたい,English,Japanese,Verb2,ませんか？ / why don''t we V?,映画を見に行く / go to see a movie,はい、行きましょう,,,,1
など,English,Japanese,Verb2,ませんか？ / why don''t we V?,映画を見に行く / go to see a movie,はい、是非,,,,1
食べさせる＋られる、たい,English,Japanese,Verb2,ませんか？ / why don''t we V?,映画を見に行く / go to see a movie,いいですよ,,,,1
などは別枠で扱う,English,Japanese,Verb2,ませんか？ / why don''t we V?,映画を見に行く / go to see a movie,すみません、今日は予定があるんです,,,,1
,,,,,,,,,,1
why don''t we ?,English,Japanese,Verb2,ませんか？ / why don''t we V?,ドライブに行く / go driving,一緒にドライブに行きませんか？,,,,1
行かない？,English,Japanese,Verb2,ませんか？ / why don''t we V?,ドライブに行く / go driving,はい、行きましょう,,,,1
食べない？,English,Japanese,Verb2,ませんか？ / why don''t we V?,ドライブに行く / go driving,はい、是非,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,ドライブに行く / go driving,いいですよ,,,,1
行きませんか？,English,Japanese,Verb2,ませんか？ / why don''t we V?,ドライブに行く / go driving,すみません、また今度,,,,1
食べませんか？,,,,,,,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,富士山に登る / climb Mt.Fuji,一緒に富士山に登りませんか？,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,富士山に登る / climb Mt.Fuji,はい、登りましょう,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,富士山に登る / climb Mt.Fuji,はい、是非,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,富士山に登る / climb Mt.Fuji,いいですよ,,,,1
,English,Japanese,Verb2,ませんか？ / why don''t we V?,富士山に登る / climb Mt.Fuji,すみません、また今度,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
,English,Japanese,Verb2,らどうですか？ / why don''t you V?,真面目にやる / do seriously,もっと真面目にやったらどうですか？,,,,1
why don''t you ?,English,Japanese,Verb2,らどうですか？ / why don''t you V?,真面目にやる / do seriously,やってますよ,,,,1
行ったら？,English,Japanese,Verb2,らどうですか？ / why don''t you V?,真面目にやる / do seriously,やる気が出ません,,,,1
行ったらどう？,,,,,,,,,,1
行ったらどうですか？,English,Japanese,Verb2,らどうですか？ / why don''t you V?,たくさん食べる / eat a lot,もっとたくさん食べたらどうですか？,,,,1
