id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
んだけど、んですけど,English,Japanese,Verb2,んですけど / and,カラオケに行く / go to karaoke,これから皆でカラオケに行くんですけど,We are all going to karaoke now and,これから | 皆で | カラオケに | 行く | んですけど,korekara | min na de | karaoke ni | iku | ndesu kedo,from now | we all | to karaoke | go | and(p)
らしいよ,English,Japanese,Verb2,んですけど / and,カラオケに行く / go to karaoke,一緒に来ますか？,are you coming with us?,一緒に | 来ます | か？,issho ni | kimasu | ka？,with us | come(p) | ？
って聞いたけど,,,,,,,,,,1
って言ってたよ,English,Japanese,Verb2,んだけど / and,雨が降る / rain,明日雨が降るらしいんだけど,,明日 | 雨が | 降る | らしい | んだけど,,1
つもりです,English,Japanese,Verb2,んだけど / and,雨が降る / rain,バーベキューどうする？,,バーベキュー | どうする？,,1
って言われたんですか？,,,,,,,,,,1
られるかわからない,English,Japanese,Verb2,んだけど / and,旅行に行く / go on a trip,来月どこか旅行に行きたいんだけど,,来月 | どこか | 旅行に | 行きたい | んだけど,,1
,English,Japanese,Verb2,んだけど / and,旅行に行く / go on a trip,どこがいいかな？,,どこが | いい | かな？,,1
,,,,,,,,,,1
,English,Japanese,Verb2,んだけど / and,腹が減る / get hungry,腹が減ったんだけど,,腹が | 減った | んだけど,,1
,English,Japanese,Verb2,んだけど / and,腹が減る / get hungry,何か食べ物持ってない？,,何か | 食べ物 | 持ってない？,,1
,,,,,,,,,,1
食べるらしい,English,Japanese,Verb2,んだけど / and,ダイエットを始める / start a diet,ダイエットを始めるつもりなんだけど,,,,1
雨が降るらしい,English,Japanese,Verb2,んだけど / and,ダイエットを始める / start a diet,何かいい方法知らない？,,,,1
,,,,,,,,,,1
行かないらしい,,,,,,,,,,1
行くって言ってた、聞いた,English,Japanese,Verb2,らしいよ / I heard,旅行に行く / go on a trip,彼女、今年は旅行に行かないらしいよ,,,,1
,English,Japanese,Verb2,らしいよ / I heard,旅行に行く / go on a trip,え、私は行くって聞いたけど,,,,1
,English,Japanese,Verb2,らしいよ / I heard,旅行に行く / go on a trip,行かないって言っていたよ,,,,1
～って聞いた,,,,,,,,,,1
～って言っている,English,Japanese,Verb2,らしいよ / I heard,たばこをやめる / quit smoking,彼、今月でたばこをやめるらしいよ,,,,1
～って言っていた,English,Japanese,Verb2,らしいよ / I heard,たばこをやめる / quit smoking,え、私はやめないって聞いたけど,,,,1
～らしい ＋ よ,English,Japanese,Verb2,らしいよ / I heard,たばこをやめる / quit smoking,やめるって言ってたよ,,,,1
,,,,,,,,,,1
,English,Japanese,Verb2,らしいよ / I heard,別れる / break up,tanakaさん、彼女と別れたらしいよ,,,,1
V＋よう＋と思う,English,Japanese,Verb2,らしいよ / I heard,別れる / break up,え、私はまだ別れていないって聞いたけど,,,,1
V＋つもりだ,English,Japanese,Verb2,らしいよ / I heard,別れる / break up,別れたって言っていたよ,,,,1
V＋予定だ,,,,,,,,,,1
,,,,,,,,,,1
,English,Japanese,Verb2,つもりです / be planning to,たばこをやめる / quit smoking,近々たばこをやめるつもりです,,,,1
,English,Japanese,Verb2,つもりです / be planning to,たばこをやめる / quit smoking,やめてって言われたんですか？,,,,1
,English,Japanese,Verb2,つもりです / be planning to,たばこをやめる / quit smoking,はい、やめられるかわからないけど,,,,1
連れていく,,,,,,,,,,1
連れてくる,English,Japanese,Verb2,つもりです / be planning to,別れる / break up,近々彼氏と別れるつもりです,,,,1
,English,Japanese,Verb2,つもりです / be planning to,別れる / break up,別れてって言われたんですか？,,,,1
,English,Japanese,Verb2,つもりです / be planning to,別れる / break up,はい、別れられるかわからないけど,,,,1
,,,,,,,,,,1
,English,Japanese,Verb2,つもりです / be planning to,旅行に行く / go on a trip,近々家族で旅行に行くつもりです,,,,1
,English,Japanese,Verb2,つもりです / be planning to,旅行に行く / go on a trip,連れて行ってって言われたんですか？,,,,1
,English,Japanese,Verb2,つもりです / be planning to,旅行に行く / go on a trip,はい、行けるかわからないけど,,,,1
