id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
んですか？,English,Japanese,Verb2,んです / curiosity etc,彼女を待つ / wait for girl friend ,誰を待っているんですか？,Who are you waiting for? ( curiosity ),誰を | 待っている | んです | か？,dare wo | matte iru | ndesu | ka?,whom | waiting | curiosity(p) | ？
んです,English,Japanese,Verb2,んです / curiosity etc,彼女を待つ / wait for girl friend ,彼女です,My girl friend.,彼女 | です,kanojo | desu,girl friend | is(p)
,English,Japanese,Verb2,んです / curiosity etc,彼女を待つ / wait for girl friend ,彼女を待っているんですか？,Are you waiting for your girl friend? ( confirmation ),彼女を | 待っている | んです | か？,kanojo wo | matte iru | ndesu | ka?,her | waiting | confirmation(p) | ?
,English,Japanese,Verb2,んです / curiosity etc,彼女を待つ / wait for girl friend ,はい、返信がないんです,Yes...she isn''t texting me back. ( explanation ),はい | 返信が | ない | んです,hai | henshin ga | nai | ndesu,yes | reply | there is not | explanation(p)
,,,,,,,,,,1
,English,Japanese,Verb2,んです / curiosity etc,アメリカに帰る / go back to America ,いつアメリカに帰るんですか？,When are you going back to America? ( curiosity ),いつ | アメリカに | 帰る | んです | か？,itsu | amerika ni | kaeru | ndesu | ka?,when | to America | go back | curiosity(p) | ？
,English,Japanese,Verb2,んです / curiosity etc,アメリカに帰る / go back to America ,明日です,Tomorrow.,明日 | です,ashita | desu,tomorrow | is(p)
,English,Japanese,Verb2,んです / curiosity etc,アメリカに帰る / go back to America ,明日帰るんですか？,Are you going back tomorrow? ( confirmation ),明日 | 帰る | んです | か？,ashita | kaeru | ndesu | ka?,tomorrow | go back | confirmation(p) | ？
,English,Japanese,Verb2,んです / curiosity etc,アメリカに帰る / go back to America ,はい、家族に不幸があったんです,Yes...my family had some bad luck. ( explanation ),はい | 家族に | 不幸が | あった | んです,hai | kazoku ni | fuko- ga | atta | ndesu,yes | to family | unfortunate thing | there was | explanation(p)
,,,,,,,,,,1
,English,Japanese,Verb2,んです / curiosity etc,ラーメンを食べる / eat ramen ,お昼は何を食べるんですか？,What are you going to eat for lunch? ( curiosity ),お昼は | 何を | 食べる | んです | か？,ohiru wa | nani wo | taberu | ndesu | ka?,lunch | what | eat | curiosity(p) | ?
,English,Japanese,Verb2,んです / curiosity etc,ラーメンを食べる / eat ramen ,ラーメンを食べる予定です,I am planning to eat ramen.,ラーメンを | 食べる | 予定 | です,ra-men wo | taberu | yote- | desu,ramen | eat | plan | is(p)
,English,Japanese,Verb2,んです / curiosity etc,ラーメンを食べる / eat ramen ,ラーメンを食べるんですか？,Ramen? ( confirmation ),ラーメンを | 食べる | んです | か？,ra-men wo | taberu | ndesu | ka?,ramen | eat | plan | confirmation(p) | ?
,English,Japanese,Verb2,んです / curiosity etc,ラーメンを食べる / eat ramen ,はい、近くに新しいラーメン屋ができたんです,Yes...a new ramen restaurant has opened nearby.( explanation ),はい | 近くに | 新しい | ラーメン屋が | できた | んです,hai | chikaku ni | atarashi- | ra-men ya ga | dekita | ndesu,yes | nearby | new | ramen shop | opened | explanation(p)
,,,,,,,,,,1
,English,Japanese,Verb2,んです / curiosity etc,京都に住む / live in Kyoto ,どこに住んでいるんですか？,Where do you live? ( curiosity ),どこに | 住んでいる | んです | か？,doko ni | sunde iru | ndesu | ka?,1
,English,Japanese,Verb2,んです / curiosity etc,京都に住む / live in Kyoto ,京都です,I live in Kyoto.,京都 | です,kyo-to | desu,1
,English,Japanese,Verb2,んです / curiosity etc,京都に住む / live in Kyoto ,京都に住んでいるんですか？,Kyoto? ( confirmation ),京都に | 住んでいる | んです | か？,kyo-to ni | sunde iru | ndesu | ka?,1
,English,Japanese,Verb2,んです / curiosity etc,京都に住む / live in Kyoto ,はい、古いお寺が好きなんです,Yes...I love old temples. ( explanation ),はい | 古い | お寺が | 好きな | んです,hai | furui | otera ga | suki na | ndesu,1
,,,,,,,,,,1
,English,Japanese,Verb2,んです / curiosity etc,日本語を勉強する / study Japanese,どうして日本語を勉強しているんですか？,,,,1
,English,Japanese,Verb2,んです / curiosity etc,日本語を勉強する / study Japanese,N1に合格するためです,,,,1
,English,Japanese,Verb2,んです / curiosity etc,日本語を勉強する / study Japanese,N1に合格したいんですか？,,,,1
,English,Japanese,Verb2,んです / curiosity etc,日本語を勉強する / study Japanese,はい、日本で仕事を見つけたいんです,,,,1
