id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
てあげたんですか？,English,Japanese,Verb3,ageru / kureru / morau,英語を教える / teach English,yournameさん、彼に英語を教えてあげたんですか？,,yournameさん、彼に英語を教えてあげたんですか？,,1
てあげました,English,Japanese,Verb3,ageru / kureru / morau,英語を教える / teach English ,はい、教えてあげました,,はい、教えてあげました,,1
てくれたんですか？,English,Japanese,Verb3,ageru / kureru / morau,英語を教える / teach English ,私の妹にも英語を教えてくれたんですか？,,私の妹にも英語を教えてくれたんですか？,,1
てくれませんか？,English,Japanese,Verb3,ageru / kureru / morau,英語を教える / teach English ,はい、教えてあげました,,はい、教えてあげました,,1
てあげます,English,Japanese,Verb3,ageru / kureru / morau,英語を教える / teach English ,私にも英語を教えてくれませんか？,,私にも英語を教えてくれませんか？,,1
てくれました,English,Japanese,Verb3,ageru / kureru / morau,英語を教える / teach English ,はい、教えてあげます,,はい、教えてあげます,,1
てもらいました,English,Japanese,Verb3,ageru / kureru / morau,英語を教える / teach English ,yournameさんは私に英語を教えてくれました,,yournameさんは私に英語を教えてくれました,,1
,English,Japanese,Verb3,ageru / kureru / morau,英語を教える / teach English ,私はyournameさんに英語を教えてもらいました,,私はyournameさんに英語を教えてもらいました,,1
,,,,,,,,,,1
,English,Japanese,Verb3,ageru / kureru / morau,引っ越しを手伝う / help with moving ,yournameさん、彼の引っ越しを手伝ってあげたんですか？,,yournameさん、彼の引っ越しを手伝ってあげたんですか？,,1
,English,Japanese,Verb3,ageru / kureru / morau,引っ越しを手伝う / help with moving ,はい、手伝ってあげました,,はい、手伝ってあげました,,1
,English,Japanese,Verb3,ageru / kureru / morau,引っ越しを手伝う / help with moving ,私の姉の引っ越しも手伝ってくれたんですか？,,私の姉の引っ越しも手伝ってくれたんですか？,,1
あげる、もらう、くれる,English,Japanese,Verb3,ageru / kureru / morau,引っ越しを手伝う / help with moving ,はい、手伝ってあげました,,はい、手伝ってあげました,,1
