id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
いる,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,家にはよくいますか？,Are you often at home?,家には | よく | います | か？,,1
ある,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,1日中います,All day.,1日中 | います,,1
見える,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,よくいます,Often.,よく | います,,1
,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,たまにいます,Sometimes.,たまに | います,,1
,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,あまりいません,Not much.,あまり | いません,,1
,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,ほとんどいません,Rarely.,ほとんど | いません,,1
,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,家族もよく家にいますか？,Is your family often at home too?,家族も | よく | 家にいます | か？,,1
,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,はい、家族もよく家にいます,Yes...my family is often at home too.,はい、| 家族も | よく | 家に | います,,1
,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,いいえ、家族はあまり家にはいません,No...my family isn''t at home much.,いいえ、| 家族は | あまり | 家には | いません,,1
,,,,,,,,,,1
,English,Japanese,Verb,be place usually,家( いえ )にいる / be at home,普段はいつ家にいますか？,When are you usually at home?,普段は | いつ | 家に | います | か？,,1
,English,Japanese,Verb,be place usually,家( いえ )にいる / be at home,朝と夜にいます,Morning and night.,朝と | 夜に | います,,1
,English,Japanese,Verb,be place usually,家( いえ )にいる / be at home,普段は家のどこにいますか？,Where at home are you usually?,普段は | 家の | どこに | います | か？,,1
,English,Japanese,Verb,be place usually,家( いえ )にいる / be at home,自分の部屋にいます,In my room.,自分の部屋に | います,,1
,English,Japanese,Verb,be place usually,家( いえ )にいる / be at home,普段は誰と家にいますか？,Who are you usually at home with?,普段は | 誰と | 家に | います | か？,,1
,English,Japanese,Verb,be place usually,家( いえ )にいる / be at home,両親といます,With my parents.,両親と | います,,1
,English,Japanese,Verb,be place usually,家( いえ )にいる / be at home,普段はどれくらい家にいますか？,How long are you usually at home?,普段は | どれくらい | 家に | います | か？,,1
,English,Japanese,Verb,be place usually,家( いえ )にいる / be at home,1日平均6時間くらいいます,About 6 hours a day on average.,1日 | 平均 | 6時間 | くらい | います,,1
,,,,,,,,,,1
の前にいます,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,今、家にいますか？,Are you at home now?,今、 | 家に | います | か？,,1
の横にいます,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,はい、家にいます,Yes...I am.,はい、| 家に | います,,1
のすぐ近くにいます,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,いいえ、今は家にはいません,No...I am not now.,いいえ、| 今は | 家には | いません,,1
の右にいます,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,今、どこにいますか？,Where are you now?,今、| どこに | います | か？,,1
の中にいます,English,Japanese,Verb,be place ,家( いえ )にいる / be at home,学校にいます,I am at school.,学校に | います,,1
,,,,,,,,,,1
,English,Japanese,Verb,be place past,家( いえ )にいる / be at home,昨日は家にいましたか？,Were you at home yesterday?,昨日は | 家に | いました | か？,,1
窓の横に机があります,English,Japanese,Verb,be place past,家( いえ )にいる / be at home,はい、家にいました,Yes...I was.,はい、| 家に | いました,,1
机は窓の横にあります,English,Japanese,Verb,be place past,家( いえ )にいる / be at home,いいえ、家にはいませんでした,No...I was not.,いいえ、| 家には | いませんでした,,1
,English,Japanese,Verb,be place past,家( いえ )にいる / be at home,昨日はどこにいましたか？,Where were you yesterday?,昨日は | どこに | いました | か？,,1
,English,Japanese,Verb,be place past,家( いえ )にいる / be at home,図書館にいました,I was at the library.,図書館に | いました,,1
,,,,,,,,,,1
,English,Japanese,Verb,be place future,家( いえ )にいる / be at home,明日は家にいますか？,Will you at home tomorrow?,明日は | 家に | います | か？,,1
,English,Japanese,Verb,be place future,家( いえ )にいる / be at home,はい、います,Yes...I will.,はい、| います,,1
,English,Japanese,Verb,be place future,家( いえ )にいる / be at home,いいえ、いません,No...I won''t.,いいえ、| いません,,1
,English,Japanese,Verb,be place future,家( いえ )にいる / be at home,まだわかりません,I don''t know yet.,まだ | わかりません,,1
,,,,,,,,,,1
,,,,,,,,,,1
,English,Japanese,Verb,be place ,学校にある / be at school ,私のかばんはここにありますか？,Is my bag here?,私のかばんは | ここに | あります | か？,,1
の前にあります,English,Japanese,Verb,be place ,学校にある / be at school ,はい、ここにあります,Yes...it''s here.,はい、| ここに | あります,,1
の横にあります,English,Japanese,Verb,be place ,学校にある / be at school ,いいえ、ここにはありません,No...it''s not here.,いいえ、| ここには | ありません,,1
のすぐ近くにあります,English,Japanese,Verb,be place ,学校にある / be at school ,私のかばんは今どこにありますか？,Where is my bag now?,私のかばんは | 今 | どこに | あります | か？,,1
の右にあります,English,Japanese,Verb,be place ,学校にある / be at school ,学校にあります,It''s at school.,学校に | あります,,1
の中にあります,English,Japanese,Verb,be place ,学校にある / be at school ,私の財布はまだここにありますか？,Is my wallet still here?,私の財布は | まだ | ここに | あります | か？,,1
,English,Japanese,Verb,be place ,学校にある / be at school ,はい、まだここにあります,Yes...it''s still here.,はい、| まだ | ここに | あります,,1
,English,Japanese,Verb,be place ,学校にある / be at school ,いいえ、もうここにはありません,No...It''s not here anymore.,いいえ、| もう | ここには | ありません,,1
,,,,,,,,,,1
,English,Japanese,Verb,be place past,学校にある / be at school ,私の財布は昨日ここにありましたか？,Was my wallet here yesterday?,私の財布は | 昨日 | ここに | ありました | か？,,1
,English,Japanese,Verb,be place past,学校にある / be at school ,はい、ここにありました,Yes...It was here.,はい、|ここに | ありました,,1
,English,Japanese,Verb,be place past,学校にある / be at school ,いいえ、ここにはありませんでした,No...It was not here.,いいえ、| ここには | ありませんでした,,1
,English,Japanese,Verb,be place past,学校にある / be at school ,私の財布は昨日どこにありましたか？,Where was my wallet yesterday?,私の財布は | 昨日 | どこに | ありました | か？,,1
,English,Japanese,Verb,be place past,学校にある / be at school ,学校にありました,It was at school.,学校に | ありました,,1
,,,,,,,,,,1
,English,Japanese,Verb,be place ,- の前にある / be in front of -,椅子は机の前にあります,,,,1
,English,Japanese,Verb,be place ,- の前にある / be in front of -,トイレは部屋の前にあります,,,,1
