id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
ています,English,Japanese,Verb,city scenery,V(te) - います,雨が降っています,,雨が降っています,,1
てあります,English,Japanese,Verb,city scenery,V(te) - います,人がたくさん歩いています,,人がたくさん歩いています,,1
います,English,Japanese,Verb,city scenery,V(te) - います,車もたくさん走っています,,車もたくさん走っています,,1
あります,English,Japanese,Verb,city scenery,V(te) - います,道路にゴミがたくさん落ちています,,道路にゴミがたくさん落ちています,,1
,English,Japanese,Verb,city scenery,V(te) - います,信号で人がたくさん待っています,,信号で人がたくさん待っています,,1
,English,Japanese,Verb,city scenery,V(te) - います,店に人がたくさん並んでいます,,店に人がたくさん並んでいます,,1
,English,Japanese,Verb,city scenery,V(te) - います,犬が2匹歩いています,,犬が2匹歩いています,,1
,English,Japanese,Verb,city scenery,V(te) - います,歩行者が交差点を渡っています,,歩行者が交差点を渡っています,,1
,English,Japanese,Verb,city scenery,V(te) - います,パトカーが車を追っています,,パトカーが車を追っています,,1
,English,Japanese,Verb,city scenery,V(te) - います,レストランが閉まっています,,レストランが閉まっています,,1
,English,Japanese,Verb,city scenery,V(te) - います,警察官がこっちを見ています,,警察官がこっちを見ています,,1
,English,Japanese,Verb,city scenery,V(te) - います,ビルがたくさん建っています,,ビルがたくさん建っています,,1
,,,,,,,,,,1
,,,,,,,,,,1
,,,,,,,,,,1
人が歩いています,English,Japanese,Verb,home scenery,V(te) - あります,壁に絵がかけてあります,,壁に絵がかけてあります,,1
車が走っています,English,Japanese,Verb,home scenery,V(te) - あります,冷蔵庫に紙が貼ってあります,,冷蔵庫に紙が貼ってあります,,1
壁に絵がかけてあります,English,Japanese,Verb,home scenery,V(te) - あります,テーブルの上に花瓶が置いてあります,,テーブルの上に花瓶が置いてあります,,1
冷蔵庫にシールが貼られています,English,Japanese,Verb,home scenery,V(te) - あります,お風呂にお湯がはってあります,,お風呂にお湯がはってあります,,1
壁にシールが貼ってあります,English,Japanese,Verb,home scenery,V(te) - あります,カップにコーヒーが淹れてあります,,カップにコーヒーが淹れてあります,,1
床にスーツケースが置いてあります,English,Japanese,Verb,home scenery,V(te) - あります,テーブルに朝食が作ってあります,,テーブルに朝食が作ってあります,,1
,English,Japanese,Verb,home scenery,V(te) - あります,玄関に靴が揃えて置いてあります,,玄関に靴が揃えて置いてあります,,1
景色シリーズは基本,English,Japanese,Verb,home scenery,V(te) - あります,窓が開けてあります,,窓が開けてあります,,1
SはV、ではなく、SがV,English,Japanese,Verb,home scenery,V(te) - あります,テレビがつけてあります,,テレビがつけてあります,,1
,English,Japanese,Verb,home scenery,V(te) - あります,庭に花が植えてあります,,庭に花が植えてあります,,1
,English,Japanese,Verb,home scenery,V(te) - あります,玄関のドアが開けてあります,,玄関のドアが開けてあります,,1
,English,Japanese,Verb,home scenery,V(te) - あります,車のエンジンがかけてあります,,車のエンジンがかけてあります,,1
,,,,,,,,,,1
,English,Japanese,Verb,home scenery,V(te) - います,洗濯機が回っています,,洗濯機が回っています,,1
あります、は他動詞で意図的,English,Japanese,Verb,home scenery,V(te) - います,テレビがついています,,テレビがついています,,1
います、は自動詞で非意図的,English,Japanese,Verb,home scenery,V(te) - います,電気がついています,,電気がついています,,1
,English,Japanese,Verb,home scenery,V(te) - います,エアコンもついています,,エアコンもついています,,1
,English,Japanese,Verb,home scenery,V(te) - います,床にゴミが落ちています,,床にゴミが落ちています,,1
,English,Japanese,Verb,home scenery,V(te) - います,服に汚れがついています,,服に汚れがついています,,1
,English,Japanese,Verb,home scenery,V(te) - います,庭で犬が吠えています,,庭で犬が吠えています,,1
,English,Japanese,Verb,home scenery,V(te) - います,ソファで父が新聞を読んでいます,,ソファで父が新聞を読んでいます,,1
,English,Japanese,Verb,home scenery,V(te) - います,2階で母が掃除をしています,,2階で母が掃除をしています,,1
,English,Japanese,Verb,home scenery,V(te) - います,居間で兄が宿題をしています,,居間で兄が宿題をしています,,1
,English,Japanese,Verb,home scenery,V(te) - います,部屋で姉がゲームをしています,,部屋で姉がゲームをしています,,1
,English,Japanese,Verb,home scenery,V(te) - います,弟が漫画を読んで笑っています,,弟が漫画を読んで笑っています,,1
,English,Japanese,Verb,home scenery,V(te) - います,扇風機が動いています,,扇風機が動いています,,1
,English,Japanese,Verb,home scenery,V(te) - います,台所で妹がケーキを作っています,,台所で妹がケーキを作っています,,1
,English,Japanese,Verb,home scenery,V(te) - います,冷蔵庫に飲み物がたくさん入っています,,冷蔵庫に飲み物がたくさん入っています,,1
,,,,,,,,,,1
,English,Japanese,Verb,home scenery,there is,テーブルの上にリモコンがあります,,テーブルの上にリモコンがあります,,1
,English,Japanese,Verb,home scenery,there is,窓の横にカーテンがあります,,窓の横にカーテンがあります,,1
,English,Japanese,Verb,home scenery,there is,ベッドの下にエロ本があります,,ベッドの下にエロ本があります,,1
,English,Japanese,Verb,home scenery,there is,冷蔵庫の中にオレンジジュースがあります,,冷蔵庫の中にオレンジジュースがあります,,1
,English,Japanese,Verb,home scenery,there is,エアコンの下にソファがあります,,エアコンの下にソファがあります,,1
