id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
てください,English,Japanese,Verb,please V,座る / sit down,ここに座ってもいいですか？,Can I sit here?,ここに座ってもいいですか？,,1
ないでください,English,Japanese,Verb,please V,座る / sit down,そこに座ってはいけません,You can''t sit there.,そこに座ってはいけません,,1
てはいけません,English,Japanese,Verb,please V,座る / sit down,どこならいいですか？,Where can I sit then?,どこならいいですか？,,1
てもいいですか？,English,Japanese,Verb,please V,座る / sit down,ここならいいです,You can sit here.,ここならいいです,,1
,English,Japanese,Verb,please V,座る / sit down,あ、やはり座らないでください,Wait...on second thought don''t sit please.,あ、やはり座らないでください,,1
てしまいました,English,Japanese,Verb,please V,座る / sit down,どっちなんですか？,So which?,どっちなんですか？,,1
ないようにしないと,English,Japanese,Verb,please V,座る / sit down,どうぞ、座ってください,Please sit down.,どうぞ、座ってください,,1
ないように気を付けないと,,,,,,,,,,1
するときはしますよ,English,Japanese,Verb,please V,見る / take a look,見てもいいですか？,,見てもいいですか？,,1
,English,Japanese,Verb,please V,見る / take a look,まだ見てはいけません,,まだ見てはいけません,,1
てほしいです,English,Japanese,Verb,please V,見る / take a look,いつならいいですか？,,いつならいいですか？,,1
ないでほしいです,English,Japanese,Verb,please V,見る / take a look,後でならいいです,,後でならいいです,,1
,English,Japanese,Verb,please V,見る / take a look,あ、やはり見ないでください,,あ、やはり見ないでください,,1
,English,Japanese,Verb,please V,見る / take a look,どっちなんですか？,,どっちなんですか？,,1
,English,Japanese,Verb,please V,見る / take a look,どうぞ、見てください,,どうぞ、見てください,,1
,,,,,,,,,,1
,English,Japanese,Verb,please V,目を開ける / open eyes,目を開けてもいいですか？,,目を開けてもいいですか？,,1
,English,Japanese,Verb,please V,目を開ける / open eyes,まだ目を開けてはいけません,,まだ目を開けてはいけません,,1
,English,Japanese,Verb,please V,目を開ける / open eyes,いつならいいですか？,,いつならいいですか？,,1
,English,Japanese,Verb,please V,目を開ける / open eyes,後でならいいです,,後でならいいです,,1
,English,Japanese,Verb,please V,目を開ける / open eyes,あ、やはり目を開けないでください,,あ、やはり目を開けないでください,,1
,English,Japanese,Verb,please V,目を開ける / open eyes,どっちなんですか？,,どっちなんですか？,,1
,English,Japanese,Verb,please V,目を開ける / open eyes,どうぞ、目を開けてください,,どうぞ、目を開けてください,,1
,,,,,,,,,,1
,,,,,,,,,,1
買ってしまった,English,Japanese,Verb,end up V-ing,寝過ごす / oversleep,寝過ごしてしまいました,,寝過ごしてしまいました,,1
寝過ごしてしまった,English,Japanese,Verb,end up V-ing,寝過ごす / oversleep,寝過ごさないように気を付けないと,,寝過ごさないように気を付けないと,,1
,English,Japanese,Verb,end up V-ing,寝過ごす / oversleep,寝過ごす時は寝過ごしますよ,,寝過ごす時は寝過ごしますよ,,1
