id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
ます,English,Japanese,Verb,V positive / negative,本を読む( ほんをよむ ) / read a book ,本は読みますか？,Do you read a book?,本は | 読みます | か？,hon wa | yomi masu | ka？,book | read(polite) | ？
ません,English,Japanese,Verb,V positive / negative,本を読む( ほんをよむ ) / read a book ,はい、よく読みます,Yes...often.,はい、| よく | 読みます,hai | yoku | yomi masu,yes | often | read(polite)
ました,English,Japanese,Verb,V positive / negative,本を読む( ほんをよむ ) / read a book ,はい、たまに読みます,Yes...sometimes.,はい、| たまに | 読みます,hai | tamani | yomi masu,yes | sometimes | read(polite)
ませんでした,English,Japanese,Verb,V positive / negative,本を読む( ほんをよむ ) / read a book ,はい、週に2回くらい読みます,Yes...about twice a week.,はい、| 週に | 2回 | くらい | 読みます,hai | shuu ni | ni kai | kurai | yomi masu,yes | a week | twice | about | read(polite)
,English,Japanese,Verb,V positive / negative,本を読む( ほんをよむ ) / read a book ,いいえ、あまり読みません,No...not much.,いいえ、| あまり | 読みません,i-e | amari | yomi masen,no | not much | not read(polite)
,English,Japanese,Verb,V positive / negative,本を読む( ほんをよむ ) / read a book ,いいえ、ほとんど読みません,No...rarely.,いいえ、| ほとんど | 読みません,i-e | hotondo | yomi masen,no | almost | not read(polite)
,,,,,,,,,,1
,English,Japanese,Verb,V usually ,本を読む( ほんをよむ ) / read a book ,普段はいつ本を読みますか？,When do you usually read a book?,普段は | いつ | 本を | 読みます | か？,fudan wa | itsu | hon wo | yomi masu | ka？,usually | when | book | read(polite) | ?
tips here,English,Japanese,Verb,V usually ,本を読む( ほんをよむ ) / read a book ,寝る前に読みます,Before I go to bed.,寝る | 前に | 読みます,neru | mae ni | yomi masu,go to bed | before | read(polite)
,English,Japanese,Verb,V usually ,本を読む( ほんをよむ ) / read a book ,普段はどこで本を読みますか？,Where do you usually read a book?,普段は | どこで | 本を | 読みます | か？,fudan wa | doko de | hon wo | yomi masu | ka？,usually | where | book | read(polite) | ？
日本語は,English,Japanese,Verb,V usually ,本を読む( ほんをよむ ) / read a book ,自分の部屋で読みます,In my room.,自分の | 部屋で | 読みます,jibun no | heya de | yomi masu,own | in the room | read(polite)
未来は現在形,English,Japanese,Verb,V usually ,本を読む( ほんをよむ ) / read a book ,普段はどれくらい本を読みますか？,How long do you usually read a book?,普段は | どれくらい | 本を | 読みます | か？,fudan wa | dorekurai | hon wo | yomi masu | ka？,usually | how long | book | read(polite) | ？
習慣は現在進行形,English,Japanese,Verb,V usually ,本を読む( ほんをよむ ) / read a book ,1日2時間くらい読みます,About 2 hours a day.,1日 | 2時間 | くらい | 読みます,ichi nichi | ni jikan | kurai | yomi masu,a day | two hours | about | read(polite)
でいける,English,Japanese,Verb,V usually ,本を読む( ほんをよむ ) / read a book ,普段はどんな本を読みますか？,What kind of book do you usually read?,普段は | どんな | 本を | 読みます | か？,fudan wa | donna | hon wo | yomi masu | ka？,usually | what kind of | book | read(polite) | ？
,English,Japanese,Verb,V usually ,本を読む( ほんをよむ ) / read a book ,小説を読みます,Novels.,小説を | 読みます,sho-setsu wo | yomi masu,novel | read(polite)
,,,,,,,,,,1
,English,Japanese,Verb,V recently,本を読む( ほんをよむ ) / read a book ,最近は本を読んでいますか？,Are you reading a book recently?,最近は | 本を | 読んでいます | か？,saikin wa | hon wo | yonde imasu | ka?,recently | book | reading(polite) | ？
,English,Japanese,Verb,V recently,本を読む( ほんをよむ ) / read a book ,最近はいつも本を読んでいます,I am always reading a book recently.,最近は | いつも | 本を | 読んでいます,saikin wa | itsumo | hon wo | yonde i masu,recently | always | book | reading(polite)
,English,Japanese,Verb,V recently,本を読む( ほんをよむ ) / read a book ,最近は全然本を読んでいません,I am not reading a book at all recently.,最近は | 全然 | 本を | 読んでいません,saikin wa | zenzen | hon wo | yonde i masen,recently | at all | book | not reading(polite)
,,,,,,,,,,1
,English,Japanese,Verb,V past,本を読む( ほんをよむ ) / read a book ,昨日は本を読みましたか？,Did you read a book yesterday?,昨日は | 本を | 読みました | か？,kino- wa | hon wo | yomi mashita | ka?,yesterday | book | read(past)(polite) | ?
,English,Japanese,Verb,V past,本を読む( ほんをよむ ) / read a book ,はい、読みました,Yes...I did.,はい、| 読みました,hai | yomi mashita,yes | read(past)(polite)
,English,Japanese,Verb,V past,本を読む( ほんをよむ ) / read a book ,いいえ、読みませんでした,No...I didn''t.,いいえ、| 読みませんでした,i-e | yomi masen deshita,no | not read(past)(polite)
,English,Japanese,Verb,V past,本を読む( ほんをよむ ) / read a book ,何を読みましたか？,What did you read?,何を | 読みました | か？,nani wo | yomi mashita | ka？,what | read(past)(polite) | ?
,English,Japanese,Verb,V past,本を読む( ほんをよむ ) / read a book ,ミステリー小説を読みました,Mistery novels.,ミステリー小説を | 読みました,misuteri- sho-setsu wo | yomi mashita,mistery novel | read(past)(polite)
,,,,,,,,,,1
,English,Japanese,Verb,V present perfect,本を読む( ほんをよむ ) / read a book ,今日はもう本を読みましたか？,Have you already read a book today?,今日は | もう | 本を | 読みました | か？,kyo- wa | mo- | hon wo | yomi mashita | ka?,today | already | book | read(past)(polite) | ?
,English,Japanese,Verb,V present perfect,本を読む( ほんをよむ ) / read a book ,はい、もう読みました,Yes...I already have.,はい、| もう | 読みました,hai | mo- | yomi mashita,yes | already | read(past)(polite)
,English,Japanese,Verb,V present perfect,本を読む( ほんをよむ ) / read a book ,いいえ、まだ読んでいません,No...not yet.,いいえ、| まだ | 読んでいません,i-e | mada | yonde i masen,no | yet | not reading(polite)
,,,,,,,,,,1
,English,Japanese,Verb,V future,本を読む( ほんをよむ ) / read a book ,明日も本を読みますか？,Will you read a book tomorrow too?,明日も | 本を | 読みます | か？,ashita mo | hon wo | yomi masu | ka？,tomorrow too | book | read(polite) | ？
,English,Japanese,Verb,V future,本を読む( ほんをよむ ) / read a book ,はい、読みます,Yes...I will.,はい、| 読みます,hai | yomi masu,yes | read(polite)
,English,Japanese,Verb,V future,本を読む( ほんをよむ ) / read a book ,いいえ、読みません,No...I won''t.,いいえ、| 読みません,i-e | yomi masen ,no | not read(polite)
,English,Japanese,Verb,V future,本を読む( ほんをよむ ) / read a book ,まだわかりません,I don''t know yet.,まだ | わかりません,mada | wakari masen,yet | not know(polite)
,,,,,,,,,,1
,,,,,,,,,,1
,English,Japanese,Verb,V positive / negative,映画を見る / watch a movie ,映画は見ますか？,Do you watch a movie?,映画は | 見ます | か？,e-ga wa | mi masu | ka？,movie | watch(polite) | ？
,English,Japanese,Verb,V positive / negative,映画を見る / watch a movie ,はい、よく見ます,Yes...often.,はい、| よく | 見ます,hai | yoku | mi masu,yes | often | watch(polite)
,English,Japanese,Verb,V positive / negative,映画を見る / watch a movie ,はい、たまに見ます,Yes...sometimes.,はい、| たまに | 見ます,hai | tamani | mi masu,yes | sometimes | watch(polite)
,English,Japanese,Verb,V positive / negative,映画を見る / watch a movie ,はい、週に2回くらい見ます,Yes...about twice a week.,はい、| 週に | 2回 | くらい | 見ます,hai | shuu ni | ni kai | kurai | mi masu,yes | a week | twice | about | watch(polite)
,English,Japanese,Verb,V positive / negative,映画を見る / watch a movie ,いいえ、あまり見ません,No...not much.,いいえ、| あまり | 見ません,i-e | amari | mi masen,no | not much | not watch(polite)
