id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
たい（希望）,English,Japanese,Verb,want to V / can V,本を読む / read a book ,今何をしたいですか？,What do you want to do now?,今 | 何を | したいです | か？,ima | nani wo | shi tai desu | ka？,now | what | want to do(polite) | ？
られる（可能）,English,Japanese,Verb,want to V / can V,本を読む / read a book ,本を読みたいです,I want to read a book.,本を | 読みたいです,hon wo | yomi tai desu,book | want to read(polite)
たことがある,English,Japanese,Verb,want to V / can V,本を読む / read a book ,どんな本を読みたいですか？,What kind of book?,どんな | 本を | 読みたいです | か？,donna | hon wo | yomi tai desu | ka？,what kind of | book | want to read(polite) | ?
,English,Japanese,Verb,want to V / can V,本を読む / read a book ,ラノベを読みたいです,Light novel.,ラノベを | 読みたいです,ranobe wo | yomi tai desu,light novel | want to read(polite)
tips here,English,Japanese,Verb,want to V / can V,本を読む / read a book ,歴史小説はどうですか？,How about history novel?,歴史小説は | どうですか？,rekishi sho-setsu wa | do- desu ka？,history novel | how about?
,English,Japanese,Verb,want to V / can V,本を読む / read a book ,歴史小説は読みたくないです,I don''t want to read it.,歴史小説は | 読みたくないです,rekishi sho-setsu wa | yomi taku nai desu,history novel | not want to read(polite)
どんな what kind of,English,Japanese,Verb,want to V / can V,本を読む / read a book ,漫画はどうですか？,How about manga?,漫画は | どうですか？,manga wa | do- desu ka？,manga | how about?
,English,Japanese,Verb,want to V / can V,本を読む / read a book ,漫画なら読んでもいいです,I am okay with it.,漫画 | なら | 読んで | も | いいです,manga | nara | yonde | mo | i- desu,manga | if it is | read(te) | even so | okay(polite)
希望、可能、経験、許容をカバー,English,Japanese,Verb,want to V / can V,本を読む / read a book ,「太陽」という本を読んだことがありますか？,Have you ever read the book called ''The Sun? '',「太陽」| という | 本を | 読んだ | ことが | あります | か？,taiyo- | to iu | hon wo | yonda | koto ga | ari masu | ka？,the sun | by the name of | book | read(past) | thing(ko) | there is(polite) | ？
,English,Japanese,Verb,want to V / can V,本を読む / read a book ,はい、あります、でも本当は読みたくなかったです,Yes I have...but I didn''t want to read it to be honest.,はい、| あります、| でも | 本当は | 読みたくなかったです,hai | ari masu | demo | honto- wa | yomi taku nakatta desu,yes | there is(polite) | but | to be honest | not wanted to read(polite)
,English,Japanese,Verb,want to V / can V,本を読む / read a book ,どうしてですか？,Why?,どうして | です | か？,do-shite | desu | ka？,why | is(polite) | ？
～という～,English,Japanese,Verb,want to V / can V,本を読む / read a book ,時間がなかったからです,Because I didn''t have time.,時間が | なかった | から | です,jikan ga | nakatta | kara | desu,time | there was not | because(ka) | is(polite)
,English,Japanese,Verb,want to V / can V,本を読む / read a book ,なるほど、昨日はラノベを読めましたか？,I see...could you read a light novel yesterday?,なるほど、| 昨日は | ラノベを | 読めました | か？,naruhodo | kino- wa | ranobe wo | yome mashita | ka？,I see | by the way | yesterday | light novel | could read(polite) | ？
本当は to be honest,English,Japanese,Verb,want to V / can V,本を読む / read a book ,読みたかったけど、読めませんでした,I wanted to...but I couldn''t.,読みたかった | けど、 | 読めませんでした,yomi takatta | kedo | yome masen deshita,wanted to read | but | could not read(polite)
,English,Japanese,Verb,want to V / can V,本を読む / read a book ,明日はどうですか？,How about tomorrow?,明日は | どうですか？,ashita wa | do- desu ka？,tomorrow | how about?
