id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,日本語,英語,初級1,動詞,【 私は毎日-します 】,I read a book every day.,私は毎日本を読みます,I | read a book | every day.,,私は | 本を 読む | 毎日
,日本語,英語,初級1,動詞,【 私は毎日-します 】,I listen to the music every day.,私は毎日音楽を聴きます,I | listen to the music | every day.,,1
,日本語,英語,初級1,動詞,【 私は毎日-します 】,I go to school every day.,私は毎日学校に行きます,I | go to school | every day.,,1
,日本語,英語,初級1,動詞,【 私は毎日-します 】,I get up early in the morning every day.,私は毎日朝早く起きます,I | get up early | in the morning | every day.,,1
,日本語,英語,初級1,動詞,【 あなたは毎日-しますか？ 】,Do you read a book every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日-しますか？ 】,Do you listen to the music every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日-しますか？ 】,Do you go to school every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日-しますか？ 】,Do you get up early in the morning every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日いつ-しますか？ 】,When do you read a book every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日いつ-しますか？ 】,When do you listen to the music every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日いつ-しますか？ 】,When do you go to school every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日いつ-しますか？ 】,When do you get up in the morning every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日何時に-しますか？ 】,What time do you read a book every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日何時に-しますか？ 】,What time do you listen to the music every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日何時に-しますか？ 】,What time do you go to school every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日何時に-しますか？ 】,What time do you get up in the morning every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日どこで-しますか？ 】,Where do you read a book every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日どこで-しますか？ 】,Where do you listen to the music every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日どこで-しますか？ 】,Where do you go every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたは毎日どこで-しますか？ 】,Where do you get up in the morning every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたはどうして毎日-するんですか？ 】,Why do you read a book every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたはどうして毎日-するんですか？ 】,Why do you listen to the music every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたはどうして毎日-するんですか？ 】,Why do you go to school every day?,,,,1
,日本語,英語,初級1,動詞,【 あなたはどうして毎日-するんですか？ 】,Why do you get up early in the morning every day?,,,,1
,日本語,英語,初級1,動詞,【 私は毎日は-しない  】,I don''t  read a book every day.,,,,私は普段 | 寝ます | 10時に
,日本語,英語,初級1,動詞,【 私は毎日は-しない  】,I don''t  listen to the music every day.,,,,私は普段 | 早く起きます | 朝
