id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,本を読む,read a book,本を | 読む,hon wo | yomu,book | read
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,映画を見る,watch the movie,映画を | 見る,eiga wo | miru,movie | watch
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,ニュースを見る,watch the news,ニュースを | 見る,news wo | miru,news | watch
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,テレビを見る,watch the TV,テレビを | 見る,terebi wo | miru,TV | watch
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,音楽をきく,listen to the music,音楽を | きく,ongaku wo | kiku,music | listen
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,絵をかく,draw a picture,絵を | かく,e wo | kaku,picture | draw
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,早く起きる,get up early,早く | 起きる,hayku | okiru,early | get up
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,早く寝る,go to bed early,早く | 寝る,hayaku | neru,early | go to sleep
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,10時に寝る,go to bed at 10,10時に | 寝る,juu ji ni | neru,at 10 | go to sleep
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,英語を勉強する,study English,英語を | 勉強する,eigo wo | benkyou suru,English | study
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,家で勉強する,study at home,家で | 勉強する,ie de | benkyou suru,at home | study
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,ゲームをする,play games,ゲームを | する,geemu wo | suru,game | play
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,朝食を食べる,eat breakfast,朝食を | 食べる,choushoku wo | taberu,breakfast | eat
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,夕食を食べる,eat dinner,夕食を | 食べる,yuusyoku wo | taberu,dinner | eat
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,肉を食べる,eat meat,肉を | 食べる,niku wo | taberu,meat | eat
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,ワインを飲む,drink wine,ワインを | 飲む,wain wo | nomu,wine | drink
,English,Japanese,Beginner1,Fragment,Verb+Object @ home,ビールを飲む,drink beer,ビールを | 飲む,biiru wo | nomu,beer | drink
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,学校に行く,go to school,学校に | 行く,gakkou ni | iku,to school | go
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,ジムに行く,go to gym,ジムに | 行く,jimu ni | iku,to gym | go
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,仕事に行く,go to work,仕事に | 行く,shigoto ni | iku,to work | go
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,コンビニに行く,go to the convenience store,コンビニに | 行く,konbini ni | iku,to convenience store | go
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,図書館に行く,go to the library,図書館に | 行く,toshokan ni | iku,to library | go
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,旅行に行く,go on a trip,旅行に | 行く,ryokou ni | iku,to trip | go
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,遊びに行く,go to hang out,遊びに | 行く,asobi ni | iku,to play | go
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,映画に行く,go to the movie,映画に | 行く,eiga ni | iku,to movie | go
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,私の家に来る,come over to my house,私の家に | 来る,watashi no ie ni | kuru,to my house | come
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,仕事をする,work,仕事を | する,shigoto wo | suru,work | do
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,料理をする,cook,料理を | する,ryouri wo | suru,cooking | do
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,車を運転する,drive a car,車を | 運転する,kuruma wo | unten suru,car | drive
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,たばこを吸う,smoke,たばこを | 吸う,tabako wo | suu,cigarret | smoke
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,スマホを使う,use the smartphone,スマホを | 使う,sumaho wo | tsukau,smartphone | use
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,友達と遊ぶ,hang out with friends,友達と | 遊ぶ,tomodachi to | asobu,with friends | hang out
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,彼に会う,see him,彼に | 会う,kare ni | au,him | see
,English,Japanese,Beginner1,Fragment,Verb+Object @ life,歌を歌う,sing a song,歌を | 歌う,uta wo | utau,a song | sing
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 読む,読む,read,読む,yomu,read
,English,Japanese,Beginner1,Fragment,Verb 読む,読まない,not read,読まない,yoma nai,not read
,English,Japanese,Beginner1,Fragment,Verb 読む,読んだ,read(ed),読んだ,yon da,read(ed)
,English,Japanese,Beginner1,Fragment,Verb 読む,読まなかった,not read(ed),読まなかった,yoma nakatta,not read(ed)
,English,Japanese,Beginner1,Fragment,Verb 読む,読みます,read(p),読みます,yomi masu,read(p)
,English,Japanese,Beginner1,Fragment,Verb 読む,読みません,not read(p),読みません,yomi masen,not read(p)
,English,Japanese,Beginner1,Fragment,Verb 読む,読みました,read(ed)(p),読みました,yomi mashita,read(ed)(p)
,English,Japanese,Beginner1,Fragment,Verb 読む,読みませんでした,not read(ed)(p),読みませんでした,yomi masen deshita,not read(ed)(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 見る,見る,see,見る,miru,see
,English,Japanese,Beginner1,Fragment,Verb 見る,見ない,not see,見ない,mi nai,not see
,English,Japanese,Beginner1,Fragment,Verb 見る,見た,saw,見た,mi ta,saw
,English,Japanese,Beginner1,Fragment,Verb 見る,見なかった,not saw,見なかった,mi nakatta,not saw
,English,Japanese,Beginner1,Fragment,Verb 見る,見ます,see(p),見ます,mi masu,see(p)
,English,Japanese,Beginner1,Fragment,Verb 見る,見ません,not see(p),見ません,mi masen ,not see(p)
,English,Japanese,Beginner1,Fragment,Verb 見る,見ました,saw(p),見ました,mi mashita,saw(p)
,English,Japanese,Beginner1,Fragment,Verb 見る,見ませんでした,not saw(p),見ませんでした,mi masen deshita,not saw(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb きく,きく,listen,きく,kiku,listen
,English,Japanese,Beginner1,Fragment,Verb きく,きかない,not listen,きかない,kika nai,not listen
,English,Japanese,Beginner1,Fragment,Verb きく,きいた,listened,きいた,kii ta,listened
,English,Japanese,Beginner1,Fragment,Verb きく,きかなかった,not listened,きかなかった,kika nakatta,not listened
,English,Japanese,Beginner1,Fragment,Verb きく,ききます,listen(p),ききます,kiki masu,listen(p)
,English,Japanese,Beginner1,Fragment,Verb きく,ききません,not listen(p),ききません,kiki masen,not listen(p)
,English,Japanese,Beginner1,Fragment,Verb きく,ききました,listened(p),ききました,kiki mashita,listened(p)
,English,Japanese,Beginner1,Fragment,Verb きく,ききませんでした,not listened(p),ききませんでした,kiki masen deshita,not listened(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb かく,かく,write,かく,kaku,write
,English,Japanese,Beginner1,Fragment,Verb かく,かかない,not write,かかない,kaka nai,not write
,English,Japanese,Beginner1,Fragment,Verb かく,かいた,wrote,かいた,kai ta,wrote
,English,Japanese,Beginner1,Fragment,Verb かく,かかなかった,not wrote,かかなかった,kaka nakatta,not wrote
,English,Japanese,Beginner1,Fragment,Verb かく,かきます,write(p),かきます,kaki masu,write(p)
,English,Japanese,Beginner1,Fragment,Verb かく,かきません,not write(p),かきません,kaki masen,not write(p)
,English,Japanese,Beginner1,Fragment,Verb かく,かきました,wrote(p),かきました,kaki mashita,wrote(p)
,English,Japanese,Beginner1,Fragment,Verb かく,かきませんでした,not wrote(p),かきませんでした,kaki masen deshita,not wrote(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きる,get up,起きる,okiru,get up
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きない,not get up,起きない,oki nai,not get up
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きた,got up,起きた,oki ta,got up
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きなかった,not got up,起きなかった,oki nakatta,not got up
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きます,get up(p),起きます,oki masu,get up(p)
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きません,not get up(p),起きません,oki masen,not get up(p)
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きました,got up(p),起きました,oki mashita,got up(p)
,English,Japanese,Beginner1,Fragment,Verb 起きる,起きませんでした,not got up(p),起きませんでした,oki masen deshita,not got up(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝る,go to bed,寝る,neru,go to bed
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ない,not go to bed,寝ない,ne nai,not go to bed
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝た,went to bed,寝た,ne ta,went to bed
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝なかった,not went to bed,寝なかった,ne nakatta,not went to bed
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ます,go to bed(p),寝ます,ne masu,go to bed(p)
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ません,not go to bed(p),寝ません,ne masen,not go to bed(p)
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ました,went to bed(p),寝ました,ne mashita,went to bed(p)
,English,Japanese,Beginner1,Fragment,Verb 寝る,寝ませんでした,not went to bed(p),寝ませんでした,ne masen deshita,not went to bed(p)
,English,Japanese,Beginner1,Fragment,,,,,,1
,English,Japanese,Beginner1,Fragment,Verb 勉強する,勉強する,study,勉強する,benkyou suru,study
