id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
,English,Japanese,Advanced,sentence,【 -は-をはじめ-様々な- 】 ,このアプリは、英語をはじめ様々な外国語に対応している,,,,1
,English,Japanese,Advanced,sentence,【-では-や-をはじめ-様々な-】,ここのショッピングモールでは、和食や中華をはじめ様々な国の料理が楽しめる,,,,1
,English,Japanese,Advanced,sentence,【-では-や-をはじめ-ありとあらゆる-】,ここのデパートでは、食料品や家具をはじめ生活に必要なありとあらゆるものを買うことができる,,,,1
,English,Japanese,Advanced,sentence,【-では-や-をはじめとする-】,動物園では、ライオンやトラをはじめとする普段なかなか見る機会がない野生動物をまじかに見ることができる,,,,1
,English,Japanese,Advanced,sentence,【-は-をはじめとする-】,米は、日本をはじめとするアジア諸国でよく食べられている,,,,1
,English,Japanese,Advanced,sentence,【-は-のみならず-にも-】,彼は、国内のみならず、世界的にも名が知られている,,,,1
,English,Japanese,Advanced,sentence,【-は-や-など-のみならず-でも】,この本は、日本や中国などアジアのみならず、ドイツやアメリカなど欧米諸国でも広く読まれている,,,,1
,English,Japanese,Advanced,sentence,,,,,,1
,English,Japanese,Advanced,sentence,【 - ようになって ( から、 / 以来、 ) - し、 - も - 】,この薬を飲むようになって以来、抜け毛が減ったし、髪の毛も太くなってきた,,この | 薬を | 飲む | ようになって | 以来、 | 抜け毛が | 減った | し、 | 髪の毛 | も | 太くなってきた,,1
,English,Japanese,Advanced,sentence,【 - ようになって ( から、 / 以来、 ) - し、 - も - 】,毎朝早起きするようになってから、体の調子がよくなったし、食欲も増えました,,,,1
,English,Japanese,Advanced,sentence,【 - ようになって ( から、 / 以来、 ) - し、 - も - 】,ここの塾に通うようになってから、成績が上がったし、親の機嫌もよくなった,,,,1
,English,Japanese,Advanced,sentence,【 - ようになって ( から、 / 以来、 ) - し、 - も - 】,猫を飼うようになってから、部屋を散らかさなくなったし、身の回りにも気を使うようになった,,,,1
