id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
1,English,Japanese,Beginner1,verb,【 私は毎日-V 】 / 【 I-V-every day 】,私は毎日本を読みます,I read a book every day.,私は | 毎日 | 本を 読みます,watashi wa | mainichi | hon wo yomi masu,I | every day | read a book
,,,,,,私は毎日学校に行きます,I go to school every day.,,,1
,,,,,,,,,,1
,,,,,【 あなたは毎日-V-か？ 】 / 【 Do you-V-every day? 】,あなたは毎日本を読みますか？,Do you read a book every day?,,,1
,,,,,,あなたは毎日学校に行きますか？,Do you go to school every day?,,,1
,,,,,【 あなたは毎日いつ-V-か？ 】 / 【 When-do you-V-every day? 】,あなたは毎日いつ本を読みますか？,When do you read a book every day?,,,1
,,,,,,あなたは毎日いつ学校に行きますか？,When do you go to school every day?,,,1
,,,,,【 あなたは毎日何時に-V-か？ 】 / 【 What time-do you-V-every day? 】,あなたは毎日何時に本を読みますか？,,,,1
,,,,,,あなたは毎日何時に学校に行きますか？,,,,1
,,,,,【 あなたは毎日どこで、に-V-か？ 】 / 【 Where-do you-V-every day? 】,あなたは毎日どこで本を読みますか？,,,,1
,,,,,,あなたは毎日どこに行きますか？,,,,1
,,,,,,,,,,1
,,,Beginner1,,【 私は普段-V 】 / 【 I usually-V 】,私は普段朝早く起きます,,,,1
,,,,,,私は普段10時に寝ます,,,,1
,,,,,【 あなたは普段-V-か？ 】 / 【 Do you usually-V? 】,あなたは普段家で勉強をしますか？,,,,1
,,,,,,あなたは普段朝食を食べますか？,,,,1
,,,,,【 あなたは普段いつ-V-か？ 】 / 【 When-do you usually-V? 】,あなたは普段いつ家で勉強しますか？,,,,1
,,,,,,あなたは普段いつ朝食を食べますか？,,,,1
,,,,,【 あなたは普段何時に-V-か？ 】 / 【 What time-do you usually-V? 】,あなたは普段何時に家で勉強しますか？,,,,1
,,,,,,あなたは普段何時に朝食を食べますか？,,,,1
,,,,,【 あなたは普段どこで-V-か？ 】 / 【 Where-do you usually-V? 】,あなたは普段どこで勉強しますか？,,,,1
,,,,,,あなたは普段どこで朝食を食べますか？,,,,1
,,,,,【 私は普段-Vn 】 / 【 I don't usually-V 】,私は普段ビールを飲みません,,,,1
,,,,,,私は普段家で勉強をしません,,,,1
,,,,,,,,,,1
,,,Beginner1,,【 私はよく-V 】 / 【 I often-V 】,私はよく映画を見ます,,,,1
,,,,,,私はよく本を読みます,,,,1
,,,,,,私はよくジムに行きます,,,,1
,,,,,【 あなたはよく-V-か？ 】 / 【 Do you often-V? 】,あなたはよく映画を見ますか？,,,,1
,,,,,,あなたはよく本を読みますか？,,,,1
,,,,,,あなたはよくジムに行きますか？,,,,1
,,,,,【 私はあまり-Vn 】 / 【 I don't often-V 】,私はあまり勉強をしません,,,,1
,,,,,,私はあまりスマホを使いません,,,,1
,,,,,,私はあまり音楽を聴きません,,,,1
,,,,,,,,,,1
,,,Beginner1,,【 私はたまに-V 】 / 【 I sometimes-V 】,私はたまに家で映画を見ます,,,,1
,,,,,,私はたまに料理をします,,,,1
,,,,,,私はたまに旅行に行きます,,,,1
,,,,,【 あなたはたまに-V-か？ 】 / 【 Do you sometimes-V? 】,あなたはたまにジムに行きますか？,,,,1
,,,,,,あなたはたまに本を読みますか？,,,,1
,,,,,,あなたはたまに映画をみますか？,,,,1
,,,,,【 私はほとんど-Vn 】 / 【 I rarely-V 】,私はほとんど学校に行きません,I rarely go to school.,,,1
,,,,,,私はほとんど肉を食べません,I rarely eat meat.,,,1
,,,,,,,,,,1
,,,Beginner1,,【 私は昨日-Vp 】 / 【 I-Vp-yesterday 】,私は昨日学校に行きました,,,,1
,,,,,,私は昨日早く寝ました,,,,1
,,,,,【 あなたは昨日-Vp-か？ 】 / 【 Did you-V-yesterday? 】,あなたは昨日学校に行きましたか？,,,,1
,,,,,,あなたは昨日早く寝ましたか？,,,,1
,,,,,【 私は昨日-Vpn 】 / 【 I-Vpn-yesterday 】,私は昨日音楽を聴きませんでした,,,,1
,,,,,,私は昨日仕事をしませんでした,,,,1
,,,,,,,,,,1
,,,Beginner1,,【 私は今日-Vp 】 / 【 I-Vp-today 】,私は今日図書館に行きました,,,,1
,,,,,,私は今日家でゲームをしました,,,,1
,,,,,【 あなたは今日-Vp-か？ 】 / 【 Did you-V-today? 】,あなたは今日図書館に行きましたか？,,,,1
,,,,,,あなたは今日家でゲームをしましたか？,,,,1
,,,,,【 私は今日-Vpn 】 / 【 I-Vpn-today 】,私は今日スマホを使いませんでした,,,,1
,,,,,,私は今日朝食を食べませんでした,,,,1
,,,,,,,,,,1
,,,Beginner1,,【 私は今日-V 】 / 【 I will-V-today 】,私は今日図書館に行きます,I will go to the library today.,,,1
,,,,,,私は今日早く寝ます,I will go to bed early today.,,,1
,,,,,【 あなたは今日-V-か？ 】 / 【 Will you-V-today? 】,あなたは今日図書館に行きますか？,Will you go to the library today?,,,1
,,,,,,あなたは今日早く寝ますか？,Will you go to bed early today?,,,1
,,,,,【 私は今日-Vn 】 / 【 I will not-V-today 】,私は今日夕食を食べません,I won't eat dinner today.,,,1
,,,,,,私は今日仕事に行きません,I won't go to work today.,,,1
,,,,,,,,,,1
,,,Beginner1,,【 私は明日-V 】 / 【 I will-V-tomorrow 】,私は明日友達と映画に行きます,I will go to the movie with my friends tomorrow.,,,1
,,,,,,私は明日友達と遊びに行きます,I will go hang out with my friends tomorrow.,,,1
,,,,,【 私は明日-V-か？ 】 / 【 I will-V-tomorrow? 】,あなたは明日図書館に行きますか？,Will you go to the library today?,,,1
