id,ylang,tlang,level,wclass,type,tlang_ex,ylang_ex,tlang_exf,furigana,chikugoyaku
1,English,Japanese,Beginner1,Verb,【 I-V-every day 】,私は毎日本を読みます,I read a book every day.,私は | 毎日 | 本を | 読みます,watashi wa | mainichi | hon wo | yomi masu,I | every day | a book | read(polite)
,English,Japanese,Beginner1,Verb,【 I-V-every day 】,私は毎日学校に行きます,I go to school every day.,私は | 毎日 | 学校に | 行きます,watashi wa | mainichi | gakkou ni | iki masu,I | every day | to school | go(polite)
,English,Japanese,Beginner1,Verb,【 I-V-every day 】,私は毎日朝食を食べます,I eat breakfast every day.,私は | 毎日 | 朝食を | 食べます,watashi wa | mainichi | choushoku wo | tabe masu,I | every day | breakfast | eat(polite)
,English,Japanese,Beginner1,Verb,【 Do you-V-every day? 】,あなたは毎日本を読みますか？,Do you read a book every day?,あなたは | 毎日 | 本を | 読みます | か？,anata wa | mainichi | hon wo | yomi masu | ka?,You | every day | a book | read(polite) | ?
,English,Japanese,Beginner1,Verb,【 Do you-V-every day? 】,あなたは毎日学校に行きますか？,Do you go to school every day?,あなたは | 毎日 | 学校に | 行きます | か？,anata wa | mainichi | gakkou ni | iki masu | ka?,You | every day | to school | go(polite) | ?
,English,Japanese,Beginner1,Verb,【 When do you-V-every day? 】,あなたは毎日いつ本を読みますか？,When do you read a book every day?,あなたは | 毎日 | いつ | 本を | 読みます | か？,anata wa | mainichi | itsu | hon wo | yomi masu | ka?,You | every day | when | a book | read(polite) | ?
,English,Japanese,Beginner1,Verb,【 When do you-V-every day? 】,あなたは毎日いつ学校に行きますか？,When do you go to school every day?,あなたは | 毎日 | いつ | 学校に | 行きます | か？,anata wa | mainichi | itsu | gakkou ni | iki masu | ka?,You | every day | when | to school | go(polite) | ?
,English,Japanese,Beginner1,Verb,【 What time do you-V-every day? 】,あなたは毎日何時に本を読みますか？,What time do you read a book every day?,あなたは | 毎日 | 何時に | 本を | 読みます | か？,anata wa | mainichi | nanji ni | hon wo | yomi masu | ka?,You | every day | what time | a book | read(polite) | ?
,English,Japanese,Beginner1,Verb,【 What time do you-V-every day? 】,あなたは毎日何時に学校に行きますか？,What time do you go to school every day?,あなたは | 毎日 | 何時に | 学校に | 行きます | か？,anata wa | mainichi | nanji ni | gakkou ni | iki masu | ka?,You | every day | what time | to school | go(polite) | ?
,English,Japanese,Beginner1,Verb,【 Where do you-V-every day? 】,あなたは毎日どこで本を読みますか？,Where do you read a book every day?,あなたは | 毎日 | どこで | 本を | 読みます | か？,anata wa | mainichi | doko de | hon wo | yomi masu | ka?,You | every day | where | a book | read(polite) | ?
,English,Japanese,Beginner1,Verb,【 Where do you-V-every day? 】,あなたは毎日どこに行きますか？,Where do you go every day?,あなたは | 毎日 | どこに | 行きます | か？,anata wa | mainichi | doko ni | iki masu | ka?,You | every day | where | go(polite) | ?
,English,Japanese,Beginner1,Verb,【 Where do you-V-every day? 】,あなたは毎日どこで英語を勉強しますか？,Where do you study every day?,あなたは | 毎日 | どこで | 勉強します | か？,anata wa | mainichi | doko de | benkyou shi masu | ka?,You | every day | where | study(polite) | ?
,English,Japanese,Beginner1,Verb,,,,,,1
,English,Japanese,Beginner1,Verb,【 I usually-V 】,私は普段朝早く起きます,I usually get up early in the morning.,私は | 普段 | 朝 | 早く | 起きます,watashi wa | fudan | asa | hayaku | oki masu,I | usually | in the morning | early | get up(p)
,English,Japanese,Beginner1,Verb,【 I usually-V 】,私は普段10時に寝ます,I usually go to bed at 10.,私は | 普段 | 10時に | 寝ます,watashi wa | fudan | juuji ni | ne masu,I | usually | at 10 | go to bed(p)
,English,Japanese,Beginner1,Verb,【 Do you usually-V? 】,あなたは普段家で勉強しますか？,Do you usually study at home?,あなたは | 普段 | 家で | 勉強します | か？,anata wa | fudan | ie de | benkyou shi masu | ka？,You | usually | at home | study(p) | ？
,English,Japanese,Beginner1,Verb,【 Do you usually-V? 】,あなたは普段朝食を食べますか？,Do you usually eat breakfast?,あなたは | 普段 | 朝食を | 食べます | か？,anata wa | fudan | choushoku wo | tabe masu | ka？,You | usually | breakfast | eat(p) | ？
,English,Japanese,Beginner1,Verb,【 When do you usually-V? 】,あなたは普段いつ家で勉強しますか？,When do you usually study at home?,あなたは | 普段 | いつ | 家で | 勉強します | か？,anata wa | fudan | itsu | ie de | benkyou shi masu | ka？,You | usually | itsu | at home | study(p) | ？
,English,Japanese,Beginner1,Verb,【 When do you usually-V? 】,あなたは普段いつ朝食を食べますか？,When do you usually eat breakfast?,あなたは | 普段 | いつ | 朝食を | 食べます | か？,anata wa | fudan | itsu | choushoku wo | tabe masu | ka？,You | usually | itsu | breakfast | eat(p) | ？
,English,Japanese,Beginner1,Verb,【 What time do you usually-V? 】,あなたは普段何時に家で勉強しますか？,What time do you usually study at home?,あなたは | 普段 | 何時に | 家で | 勉強します | か？,anata wa | fudan | nanji ni | ie de | benkyou shi masu | ka？,You | usually | what time | at home | study(p) | ？
,English,Japanese,Beginner1,Verb,【 What time do you usually-V? 】,あなたは普段何時に朝食を食べますか？,What time do you usually eat breakfast?,あなたは | 普段 | 何時に | 朝食を | 食べます | か？,anata wa | fudan | nanji ni | choushoku wo | tabe masu | ka？,You | usually | what time | breakfast | eat(p) | ？
,English,Japanese,Beginner1,Verb,【 Where do you usually-V? 】,あなたは普段どこで勉強しますか？,Where do you usually study?,あなたは | 普段 | どこで | 勉強します | か？,anata wa | fudan | doko de | benkyou shi masu | ka？,You | usually | where | study(p) | ？
,English,Japanese,Beginner1,Verb,【 Where do you usually-V? 】,あなたは普段どこで朝食を食べますか？,Where do you usually eat breakfast?,あなたは | 普段 | どこで | 朝食を | 食べます | か？,anata wa | fudan | doko de | choushoku wo | tabe masu | ka？,You | usually | where | breakfast | eat(p) | ？
,English,Japanese,Beginner1,Verb,【 I don''t usually-V 】,私は普段ビールを飲みません,I don''t usually drink beer.,私は | 普段 | ビールを | 飲みません,watashi wa | fudan | bi-ru wo | nomi masen,You | usually | beer | not drink(p)
,English,Japanese,Beginner1,Verb,【 I don''t usually-V 】,私は普段家で勉強しません,I don''t usually study at home.,私は | 普段 | 家で | 勉強しません,watashi wa | fudan | ie de | benkyou shi masen,I | usually | at home | not study(p)
,English,Japanese,Beginner1,Verb,【 I don''t usually-V 】,私は普段ジムに行きません,I don''t usually go to gym.,私は | 普段 | ジムに | 行きません,watashi wa | fudan | jimu ni | iki masen,I | usually | to gym | not go(p)
,English,Japanese,Beginner1,Verb,,,,,,1
,English,Japanese,Beginner1,Verb,【 I often-V 】,私はよく映画を見ます,I often watch a movie.,私は | よく | 映画を | 見ます,,1
,English,Japanese,Beginner1,Verb,【 I often-V 】,私はよく本を読みます,I often read a book.,私は | よく | 本を | 読みます,,1
,English,Japanese,Beginner1,Verb,【 I often-V 】,私はよくジムに行きます,I often go to gym.,私は | よく | ジムに | 行きます,,1
,English,Japanese,Beginner1,Verb,【 Do you often-V? 】,あなたはよく映画を見ますか？,Do you often watch a movie?,あなたは | よく | 映画を | 見ます | か？,,1
,English,Japanese,Beginner1,Verb,【 Do you often-V? 】,あなたはよく本を読みますか？,Do you often read a book?,あなたは | よく | 本を | 読みます | か？,,1
,English,Japanese,Beginner1,Verb,【 Do you often-V? 】,あなたはよくジムに行きますか？,Do you often go to gym?,あなたは | よく | ジムに | 行きます | か？,,1
,English,Japanese,Beginner1,Verb,【 I don''t often-V 】,私はあまり勉強をしません,I don''t often study.,私は | あまり | 勉強しません,,1
,English,Japanese,Beginner1,Verb,【 I don''t often-V 】,私はあまりスマホを使いません,I don''t often use the smartphone.,私は | あまり | スマホを | 使いません,,1
,English,Japanese,Beginner1,Verb,【 I don''t often-V 】,私はあまり音楽をききません,I don''t often listen to the music.,私は | あまり | 音楽を | ききません,,1
